promotion_row_key,source_training_slice,store_number,sku_number,promotion_name,department,category,inferred_supplier_number,realized_sales_units,target_actual_units_sold,sufficient_stock_demand_units_target,target_quality_label,target_weight,target_repair_basis,target_warning,stock_integrity_issue_flag
772|1478|2025-12-11|2025-12-24|772-1478-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,1478,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,THERAPEUTIC,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15009|2025-12-11|2025-12-24|772-15009-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15009,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,RIMMEL,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15182|2025-12-11|2025-12-24|772-15182-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15182,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SUNCARE,SUN PROTECTION,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15186|2025-12-11|2025-12-24|772-15186-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15186,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SUNCARE,SUN PROTECTION,99999,5.0,5.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15220|2025-12-11|2025-12-24|772-15220-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15220,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SUNCARE,SUN PROTECTION,99999,3.0,3.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15238|2025-12-11|2025-12-24|772-15238-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15238,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SUNCARE,SUN PROTECTION,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15270|2025-12-11|2025-12-24|772-15270-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15270,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SUNCARE,AFTERSUN,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15272|2025-12-11|2025-12-24|772-15272-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15272,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SUNCARE,SUN PROTECTION,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15653|2025-12-11|2025-12-24|772-15653-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15653,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,2.0,2.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15707|2025-12-11|2025-12-24|772-15707-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15707,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,FRAGRANCE,SINGLES FEMALE,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,NO_EVIDENCE_NO_SALES|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
