sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,buyer_review_queue_rank,brain_action_label,final_governed_action_label,final_governed_order_units,optimal_stock_position_order_units,regime_adjusted_decision_value,expected_promo_uplift_units,leftover_units_above_optimal,missed_demand_penalty,calibrated_regime_conviction_score,conviction_downgrade_reason,decision_triage_reason,human_interpretation_summary
782211,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,23.9,366,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,21.495,1.335,0.0,0.0,5.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: cash, demand, stock; constraints: none"
89000,0.0,VITAMIN SUPPLEMENT,unknown,HIGH_PRIORITY_BUY_REVIEW,23.9,367,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,21.0,1.613,1.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
69756,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,23.9,368,AGGRESSIVE_BUY,AGGRESSIVE_BUY,6.0,6.0,16.671,4.442,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes AGGRESSIVE_BUY for 6 units; top drivers: promo, demand, cash; constraints: none"
90439,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,23.9,369,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,10.784,0.956,0.0,0.0,10.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: demand, cash, promo; constraints: none"
520924,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,23.9,370,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,5.619,0.991,0.0,0.0,10.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: demand, cash, promo; constraints: none"
483796,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,23.8,371,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,30.504,0.65,0.0,9.77,9.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, supplier; constraints: none"
91438,0.0,HAIRCARE,unknown,STANDARD_RUN_DOWN_REVIEW,23.8,372,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,0.0,0.0,90.584,9.48,1.714,0.0,5.0,high_wape_regime_cap,standard_run_down_review,"Brain proposes NO_BUY_RUN_DOWN for 0 units; top drivers: promo, demand, cash; constraints: overstock_run_down_no_buy"
94618,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,23.8,373,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,46.468,1.06,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: demand, cash, stock; constraints: none"
189601,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,23.8,374,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,46.024,1.744,0.0,0.0,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: cash, stock, supplier; constraints: none"
483648,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,23.7,375,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,11.504,0.663,0.0,0.0,37.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, stock, demand; constraints: none"
