sku_number,sku_description,department,promotion_name,decision_triage_class,economic_priority_rank,economic_net_value_score,missed_sales_avoidance_value,brain_action_label,final_governed_action_label,current_soh,expected_soh_at_promo_start_before_order,long_tail_sku_flag,basket_completion_sku_flag,basket_attachment_score,basket_mission_importance_score,long_tail_stockout_risk_score,basket_loss_multiplier,long_tail_protection_value,basket_trust_convexity_value,long_tail_basket_protection_reason
199739,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,114,-17.525,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
40165,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,115,-22.089,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
4759,0.0,FRAGRANCE,unknown,HIGH_PRIORITY_BUY_REVIEW,116,48.105,86.827,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,70.0,1.0,0.0,0.0,standard_volume_protection
88392,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,117,-22.156,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
90999,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,118,-21.024,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
91048,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,119,-21.125,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
91951,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,120,-21.692,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
91964,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,121,-21.565,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
42899,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,122,-8.564,24.064,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,58.5,1.0,0.0,0.0,standard_volume_protection
94918,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,123,-21.657,0.0,AGGRESSIVE_BUY,AGGRESSIVE_BUY,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
91063,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,124,-20.989,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
91885,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,125,-21.859,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
