SKU,description,department,decision_triage_class,brain_learned_action_label,brain_expected_economic_value,economic_net_value_score,brain_value_gap_vs_current,brain_top_feature_1,brain_top_feature_2,constraint_block_flag,promo_demand_source_quality,buyer_check,governance_block_reason
188715,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,146.162,134.923,11.239,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
94039,0.0,SKINCARE,WATCHLIST_ONLY,BLOCKED_UNSAFE,56.942,45.708,11.234,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
199846,0.0,SKINCARE,STANDARD_RUN_DOWN_REVIEW,BLOCKED_UNSAFE,14.964,3.943,11.021,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
445650,0.0,SKINCARE,STANDARD_RUN_DOWN_REVIEW,HOLD_FOR_REPLENISHMENT,-88.739,-99.248,10.509,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
90152,0.0,COLOUR COSMETICS,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,28.392,17.989,10.403,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
90015,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,66.382,56.226,10.156,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
73699,0.0,ORAL HEALTH,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,54.16,44.048,10.112,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
11494,0.0,ORAL HEALTH,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,103.912,94.003,9.909,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
65606,0.0,SKINCARE,HIGH_PRIORITY_BUY_REVIEW,BUYER_REVIEW_REQUIRED,35.191,25.299,9.892,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
26780,0.0,SUNCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,11.829,1.958,9.871,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
