segment_name,segment_value,total_rows,actuals_available,raw_bias_pct,calibrated_bias_pct,bias_adjusted_bias_pct,WAPE,MAE,underforecast_rate,severe_underforecast_rate,overforecast_rate,severe_overforecast_rate,missed_units_estimate,excess_units_estimate,net_economic_risk_estimate,release_blocker_status,predicted_units_total,actual_units_total
category,EVERYDAY SKIN,1929,1161,-62.1964,-25.382,-23.6277,0.6976,1.3908429237947124,40.07,20.48,4.04,0.16,2537.5,145.43,1.0,model_bias_dangerously_negative,1453.93,3846.0
category,EYECARE PRODUCTS,71,44,-40.6198,-25.382,-23.6277,0.5785,0.7821549295774648,35.21,12.68,8.45,0.0,47.26,8.27,0.0,model_bias_dangerously_negative,57.0,96.0
category,EYEWEAR,328,33,-22.9722,-25.382,-23.6277,0.8268,0.0907439024390244,5.49,0.0,0.3,0.0,19.02,10.75,0.0,model_bias_dangerously_negative,27.73,36.0
category,FAM PLAN TESTS,27,8,7.8,-25.382,-23.6277,0.6322,0.21074074074074073,7.41,0.0,3.7,0.0,2.49,3.2,0.0,monitor,9.7,9.0
category,FASHION ACCESS,165,52,-18.2352,-25.382,-23.6277,0.4949,0.27295757575757573,12.73,1.82,3.64,0.0,30.82,14.22,0.0,model_bias_dangerously_negative,74.41,91.0
category,FEMININE HYGIENE,392,279,-53.6715,-25.382,-23.6277,0.6238,1.478280612244898,46.94,27.55,5.87,0.26,539.05,40.44,0.0,model_bias_dangerously_negative,430.39,929.0
category,FOOT CARE,21,9,-38.3077,-25.382,-23.6277,0.5854,0.3623809523809524,23.81,0.0,0.0,0.0,6.29,1.32,0.0,model_bias_dangerously_negative,8.02,13.0
category,FOOT SUPPORT,78,36,-25.5288,-25.382,-23.6277,0.458,0.3053461538461539,20.51,1.28,1.28,0.0,18.55,5.27,0.0,model_bias_dangerously_negative,38.72,52.0
category,FOOTCARE AID,94,50,-15.6909,-25.382,-23.6277,0.5095,0.41736170212765955,20.21,2.13,9.57,0.0,25.66,13.58,0.0,model_bias_dangerously_negative,64.92,77.0
category,GENERAL MERCH,2,2,-54.1,-25.382,-23.6277,0.541,0.541,100.0,0.0,0.0,0.0,1.08,0.0,0.0,model_bias_dangerously_negative,0.92,2.0
category,GIFTSETS FEMALE,127,6,16.6833,-25.382,-23.6277,1.0108,0.04775590551181102,1.57,0.0,0.79,0.0,2.53,3.53,0.0,monitor,7.0,6.0
category,GIFTSETS MALE,80,2,68.9,-25.382,-23.6277,1.26,0.0315,0.0,0.0,0.0,0.0,0.57,1.95,0.0,monitor,3.38,2.0
category,GUT HEALTH,29,14,-5.881,-25.382,-23.6277,0.4133,0.2992758620689655,17.24,3.45,3.45,0.0,4.96,3.72,0.0,monitor,19.76,21.0
category,HAIR ACCESSORIES,486,319,-35.6747,-25.382,-23.6277,0.5169,0.7903065843621401,33.13,11.93,6.17,0.41,324.58,59.51,0.0,model_bias_dangerously_negative,477.94,743.0
category,HAIR BRUSHES,295,166,-33.0831,-25.382,-23.6277,0.5745,0.5998033898305085,28.47,7.46,7.46,0.34,139.42,37.52,0.0,model_bias_dangerously_negative,206.1,308.0
category,HAIR ELECTRICAL,92,56,-36.3157,-25.382,-23.6277,0.5623,0.543945652173913,28.26,5.43,2.17,0.0,41.18,8.86,0.0,model_bias_dangerously_negative,56.68,89.0
category,HAIR STYLING,456,274,-49.2281,-25.382,-23.6277,0.6297,0.9790899122807019,34.87,14.47,4.82,0.66,397.75,48.72,4.82,model_bias_dangerously_negative,359.97,709.0
category,HEALTHY AGEING SUP,408,151,-47.3082,-25.382,-23.6277,0.6842,0.5701568627450979,18.38,6.37,3.68,0.25,196.74,35.89,0.0,model_bias_dangerously_negative,179.15,340.0
category,HEART AND CHOLESTE,2,0,,-25.382,-23.6277,,0.0235,0.0,0.0,0.0,0.0,0.0,0.05,0.0,monitor,0.05,0.0
category,HEAT APPLICATN,127,40,-3.9288,-25.382,-23.6277,0.6255,0.29058267716535424,8.66,1.57,5.51,1.57,19.61,17.29,0.0,monitor,56.68,59.0
category,HOME FRAGRANCE,187,50,-45.4851,-25.382,-23.6277,0.6116,0.30743315508021385,13.9,5.88,0.0,0.0,50.12,7.37,0.0,model_bias_dangerously_negative,51.24,94.0
category,HOT COLD PACKS,11,1,-13.8,-25.382,-23.6277,0.462,0.08400000000000002,9.09,0.0,0.0,0.0,0.6,0.32,0.0,monitor,1.72,2.0
category,HYDRATION,152,70,-33.7597,-25.382,-23.6277,0.6022,0.5111052631578947,19.08,6.58,5.92,0.0,60.62,17.07,0.0,model_bias_dangerously_negative,85.45,129.0
category,IMMUNE HEALTH SUPP,191,61,-25.8151,-25.382,-23.6277,0.5393,0.26259685863874344,12.04,1.57,3.66,0.0,37.08,13.07,0.0,model_bias_dangerously_negative,68.99,93.0
category,INCONTINENCE MEN,30,12,-52.7441,-25.382,-23.6277,0.6447,0.7307000000000001,26.67,16.67,3.33,0.0,19.93,1.99,0.0,model_bias_dangerously_negative,16.07,34.0
category,INCONTINENCE UNISE,10,0,,-25.382,-23.6277,,0.0256,0.0,0.0,0.0,0.0,0.0,0.26,0.0,monitor,0.26,0.0
category,INCONTINENCE WOMAN,144,61,-45.0511,-25.382,-23.6277,0.6308,0.6089097222222222,23.61,6.25,5.56,0.0,75.15,12.53,0.0,model_bias_dangerously_negative,76.38,139.0
category,INHALANTS,8,4,-38.8875,-25.382,-23.6277,0.6699,0.669875,25.0,12.5,12.5,0.0,4.24,1.12,0.0,model_bias_dangerously_negative,4.89,8.0
category,INSECT REPELLENT,1,0,,-25.382,-23.6277,,0.018,0.0,0.0,0.0,0.0,0.0,0.02,0.0,monitor,0.02,0.0
category,INSOMNIA,2,1,133.7,-25.382,-23.6277,1.337,0.6685,0.0,0.0,50.0,0.0,0.0,1.34,0.0,monitor,2.34,1.0
category,KIND,176,23,-12.5867,-25.382,-23.6277,0.6238,0.10632954545454544,5.68,0.0,0.57,0.0,11.25,7.47,0.0,monitor,26.22,30.0
category,LASHES,486,162,-31.2398,-25.382,-23.6277,0.5611,0.32209259259259254,15.23,3.7,2.88,0.0,121.85,34.69,0.0,model_bias_dangerously_negative,191.84,279.0
category,LIP CARE,464,300,-59.1641,-25.382,-23.6277,0.6593,1.9964504310344828,40.52,23.28,5.6,0.43,878.8,47.55,1.0,model_bias_dangerously_negative,573.75,1405.0
category,LOREAL,1961,627,-40.7452,-25.382,-23.6277,0.6092,0.3174727180010199,15.91,3.01,0.87,0.05,519.49,103.07,0.0,model_bias_dangerously_negative,605.58,1022.0
category,LOTIONS AND POWDER,25,8,-52.576,-25.382,-23.6277,0.728,0.728,20.0,12.0,4.0,0.0,15.67,2.53,0.0,model_bias_dangerously_negative,11.86,25.0
category,MAKEUP REVOLUTION,775,196,-35.7464,-25.382,-23.6277,0.6463,0.2335096774193548,13.03,1.68,1.03,0.0,140.53,40.44,0.0,model_bias_dangerously_negative,179.91,280.0
category,MANICURE PEDICURE,484,223,-30.6463,-25.382,-23.6277,0.5893,0.5332830578512398,22.11,6.4,7.85,0.41,196.17,61.94,0.0,model_bias_dangerously_negative,303.77,438.0
category,MAX FACTOR,1168,147,-26.0949,-25.382,-23.6277,0.7673,0.1281001712328767,6.93,0.51,0.86,0.0,100.25,49.37,0.0,model_bias_dangerously_negative,144.11,195.0
category,MAYBELLINE,2562,972,-39.4533,-25.382,-23.6277,0.5872,0.39195784543325524,19.32,4.76,1.83,0.0,839.42,164.77,0.0,model_bias_dangerously_negative,1035.35,1710.0
category,MEDICAL TEST KITS,6,2,-1.35,-25.382,-23.6277,0.1205,0.04016666666666666,0.0,0.0,0.0,0.0,0.13,0.11,0.0,monitor,1.97,2.0
category,MEDICATED HAIR,117,52,-50.2829,-25.382,-23.6277,0.6517,0.5848803418803419,24.79,8.55,0.85,0.0,60.61,7.82,0.0,model_bias_dangerously_negative,52.2,105.0
category,MENS BODY WASH,40,9,-61.2273,-25.382,-23.6277,0.8055,0.22152500000000003,17.5,0.0,0.0,0.0,7.8,1.06,0.0,model_bias_dangerously_negative,4.26,11.0
category,MENS DEODORANT,205,110,-38.3322,-25.382,-23.6277,0.551,0.5429121951219512,28.29,6.83,4.39,0.0,94.36,16.93,0.0,model_bias_dangerously_negative,124.57,202.0
category,MENS ELEC GROOMING,24,9,8.7,-25.382,-23.6277,0.4182,0.17425000000000002,4.17,0.0,8.33,0.0,1.66,2.53,0.0,monitor,10.87,10.0
category,MENS GROOM DEODORA,47,20,-53.0486,-25.382,-23.6277,0.6587,0.4904893617021276,27.66,8.51,2.13,0.0,20.81,2.24,0.0,model_bias_dangerously_negative,16.43,35.0
category,MENS HAIRCARE,135,53,-30.2014,-25.382,-23.6277,0.4977,0.2654444444444445,15.56,2.22,1.48,0.0,28.79,7.04,0.0,model_bias_dangerously_negative,50.25,72.0
category,MENS SHAVING AIDS,201,72,0.6172,-25.382,-23.6277,0.4588,0.19860199004975124,8.46,0.0,4.48,0.0,19.69,20.23,0.0,monitor,87.54,87.0
category,MENS SKINCARE,136,29,-13.4324,-25.382,-23.6277,0.5624,0.153,8.09,0.74,1.47,0.0,12.89,7.92,0.0,monitor,32.03,37.0
category,MILANI,280,95,-52.9972,-25.382,-23.6277,0.6364,0.4091392857142857,22.5,5.36,0.0,0.0,104.98,9.58,0.0,model_bias_dangerously_negative,84.6,180.0
category,MIND BODY BAL SUPP,221,46,-32.9043,-25.382,-23.6277,0.6483,0.20534389140271495,9.05,1.81,1.36,0.0,34.21,11.17,0.0,model_bias_dangerously_negative,46.97,70.0
category,MIXTURES LIQ,35,8,1.7545,-25.382,-23.6277,0.7346,0.23088571428571428,8.57,0.0,11.43,0.0,3.94,4.14,0.0,monitor,11.19,11.0
category,MOTHER CARE,17,3,-90.125,-25.382,-23.6277,1.0947,0.2575882352941176,17.65,0.0,0.0,0.0,3.99,0.39,0.0,model_bias_dangerously_negative,0.39,4.0
category,MOUTH WASHES,100,57,-50.8082,-25.382,-23.6277,0.5983,1.0231599999999998,38.0,18.0,2.0,0.0,94.6,7.72,0.0,model_bias_dangerously_negative,84.12,171.0
category,NATIO,1959,440,-35.4187,-25.382,-23.6277,0.6727,0.21840377743746808,12.61,1.43,0.87,0.0,326.56,101.3,0.0,model_bias_dangerously_negative,410.74,636.0
category,NATURAL,1196,567,-53.9486,-25.382,-23.6277,0.6667,0.6946112040133781,28.34,9.62,2.34,0.0,751.48,79.28,0.0,model_bias_dangerously_negative,573.8,1246.0
category,NATURAL DEODORANT,47,40,-29.7542,-25.382,-23.6277,0.4025,0.7107234042553192,44.68,10.64,6.38,0.0,29.05,4.35,0.0,model_bias_dangerously_negative,58.3,83.0
category,NUDE BY NATURE,713,186,-31.8508,-25.382,-23.6277,0.6139,0.21351472650771386,12.62,1.4,1.26,0.0,115.61,36.62,0.0,model_bias_dangerously_negative,169.01,248.0
category,NUTRITION SUPPS,13,5,-37.025,-25.382,-23.6277,0.5285,0.3252307692307692,15.38,0.0,0.0,0.0,3.6,0.63,0.0,model_bias_dangerously_negative,5.04,8.0
category,NYX,2020,868,-47.9473,-25.382,-23.6277,0.6324,0.5795153465346535,25.74,8.12,2.92,0.15,1029.06,141.56,2.0,model_bias_dangerously_negative,963.5,1851.0
category,OPALLAC,137,29,-32.9727,-25.382,-23.6277,0.6514,0.20921167883211678,12.41,1.46,2.19,0.0,21.59,7.08,0.0,model_bias_dangerously_negative,29.49,44.0
category,ORAL ELECTRICAL,222,109,-38.2011,-25.382,-23.6277,0.5418,0.45881081081081077,22.07,6.31,3.15,0.0,86.84,15.02,9.64,model_bias_dangerously_negative,116.18,188.0
category,PAIN LIQUIDS,27,8,-54.8111,-25.382,-23.6277,0.7263,0.2421111111111111,14.81,0.0,0.0,0.0,5.74,0.8,0.0,model_bias_dangerously_negative,4.07,9.0
category,PAIN TABS CAPS,72,43,-2.1308,-25.382,-23.6277,0.543,0.5882777777777778,22.22,5.56,16.67,1.39,22.01,20.35,0.0,monitor,76.34,78.0
category,PAPER PRODUCTS,28,23,-33.644,-25.382,-23.6277,0.54,2.23725,46.43,25.0,17.86,7.14,50.84,11.81,0.0,model_bias_dangerously_negative,76.97,116.0
category,PERSONAL WASH,525,261,-46.4483,-25.382,-23.6277,0.697,0.9997257142857143,25.14,10.67,4.38,0.38,437.31,87.55,1.0,model_bias_dangerously_negative,403.24,753.0
category,PHYS ACTIVITY SUPP,427,131,-36.4721,-25.382,-23.6277,0.5993,0.2821007025761124,14.29,2.81,1.17,0.0,96.88,23.57,0.0,model_bias_dangerously_negative,127.69,201.0
