sku_number,expected_units_before_promo_start,expected_promo_demand,pre_minus_promo,pre_over_promo_ratio,projected_SOH_at_promo_start,current_soh,projected_stock_gap_units,days_to_promo_start,lead_days_to_promo_start,lead_up_demand_units,feature_pre_promo_baseline_daily_units,feature_pre_promo_rolling_demand_units
91524,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
199903,0,1,-1,0.0,8,2,0,1,1,0,1.2,16.8
94463,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
186539,0,1,-1,0.0,15,15,0,1,1,0,1.125,15.75
491852,0,1,-1,0.0,18,6,0,1,1,0,1.0,14.0
92473,0,1,-1,0.0,2,2,1,1,1,0,0.0,0.0
94544,0,1,-1,0.0,12,12,0,1,1,0,1.0,14.0
43839,0,1,-1,0.0,69,69,0,1,1,0,1.0,14.0
194406,0,1,-1,0.0,5,5,0,1,1,0,0.0021,0.0294
69757,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
92632,0,1,-1,0.0,9,3,0,1,1,0,1.4,19.6
97203,0,1,-1,0.0,8,8,0,1,1,0,0.0,0.0
26169,1,2,-1,0.5,17,18,0,1,1,1,1.3571428571428572,19.0
88115,0,1,-1,0.0,12,12,0,1,1,0,0.0,0.0
198638,0,1,-1,0.0,9,9,0,1,1,0,1.0,14.0
92951,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
94528,0,1,-1,0.0,12,12,0,1,1,0,1.0,14.0
192034,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
360759,0,1,-1,0.0,9,9,0,1,1,0,1.3333333333333333,18.666666666666664
185219,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
966436,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
94536,0,1,-1,0.0,9,9,0,1,1,0,1.0,14.0
90320,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
97324,0,1,-1,0.0,2,2,1,1,1,0,0.0,0.0
342505,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
196407,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
74313,0,1,-1,0.0,2,2,1,1,1,0,0.0064,0.0896
94711,0,1,-1,0.0,2,2,1,1,1,0,0.0021,0.0294
15138,0,1,-1,0.0,2,2,1,1,1,0,0.0,0.0
72885,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
59308,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
195357,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
298077,0,1,-1,0.0,2,2,1,1,1,0,0.0,0.0
38288,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
561027,0,1,-1,0.0,2,2,1,1,1,0,0.0,0.0
91479,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
321400,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
196408,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
63447,0,1,-1,0.0,2,2,1,1,1,0,0.0,0.0
199000,0,1,-1,0.0,2,2,1,1,1,0,0.0021,0.0294
199012,0,1,-1,0.0,2,2,1,1,1,0,0.0021,0.0294
196487,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
196489,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
196494,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
196496,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
55560,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
55562,0,1,-1,0.0,2,2,1,1,1,0,1.0,14.0
199902,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
88080,0,1,-1,0.0,8,8,0,1,1,0,1.4,19.6
44022,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
97194,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
97236,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
675059,0,1,-1,0.0,10,10,0,1,1,0,1.0,14.0
428868,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
195081,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
94922,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
49692,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
97199,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
22453,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
97197,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
186538,0,1,-1,0.0,6,6,0,1,1,0,1.25,17.5
192219,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
88113,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
188852,0,1,-1,0.0,13,13,0,1,1,0,1.2,16.8
198650,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
67025,0,1,-1,0.0,11,11,0,1,1,0,1.0,14.0
97245,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
186282,0,1,-1,0.0,6,6,0,1,1,0,1.8,25.2
49418,0,1,-1,0.0,9,9,0,1,1,0,1.0,14.0
97196,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
94174,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
54475,0,1,-1,0.0,10,10,0,1,1,0,0.0021,0.0294
26780,0,1,-1,0.0,6,6,0,1,1,0,0.0043,0.0602
198632,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
638411,0,1,-1,0.0,11,11,0,1,1,0,1.0,14.0
96404,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
191868,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
49504,0,1,-1,0.0,11,11,0,1,1,0,1.0,14.0
735078,0,1,-1,0.0,7,7,0,1,1,0,1.75,24.5
88539,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
93946,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
97198,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
192032,0,1,-1,0.0,8,8,0,1,1,0,0.0021,0.0294
562416,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
22488,0,1,-1,0.0,11,11,0,1,1,0,1.5,21.0
28231,0,1,-1,0.0,11,11,0,1,1,0,1.1666666666666667,16.333333333333336
43328,0,1,-1,0.0,8,8,0,1,1,0,1.1666666666666667,16.333333333333336
195073,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
24359,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
445223,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
65586,0,1,-1,0.0,6,6,0,1,1,0,3.0,42.0
49685,0,1,-1,0.0,21,9,0,1,1,0,1.5,21.0
97200,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
195074,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
94473,0,1,-1,0.0,10,10,0,1,1,0,1.2,16.8
11838,0,1,-1,0.0,6,0,0,1,1,0,1.5,21.0
199957,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
26150,0,1,-1,0.0,9,9,0,1,1,0,0.0,0.0
94939,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
185622,0,1,-1,0.0,10,10,0,1,1,0,1.0,14.0
94928,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
94527,0,1,-1,0.0,9,9,0,1,1,0,1.0,14.0
199904,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
