sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,reason_short,audit_notes
167276,Nair Sens Wax Strips Lg 20Pk,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=58; capital_risk=$17.17; risk_reward=0.40; sku_bias=NO_COMPARABLE_EVENTS
192996,Rim Lasting Matte Ls 200,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$16.21; risk_reward=0.48; sku_bias=NO_COMPARABLE_EVENTS
195437,Npmu Duck Plmp Hall Of Fla,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=70; capital_risk=$14.11; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
70391,Npmu Tisi Brow Ms Brun,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=73; capital_risk=$12.30; risk_reward=0.62; sku_bias=NO_COMPARABLE_EVENTS
193991,Rim Glameyes Liner Brn Vel,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$11.78; risk_reward=0.47; sku_bias=NO_COMPARABLE_EVENTS
196406,Ysl Libre Edp 90Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$492.33; risk_reward=0.31; sku_bias=NO_COMPARABLE_EVENTS
189743,Colg Water Flosser Series 2,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$331.31; risk_reward=0.39; sku_bias=NO_COMPARABLE_EVENTS
93835,Coach For Men Edp 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$329.03; risk_reward=0.30; sku_bias=NO_COMPARABLE_EVENTS
198893,Ysl Myslf Edp 60Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$269.16; risk_reward=0.31; sku_bias=NO_COMPARABLE_EVENTS
194451,Coach Love W Edp 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$240.99; risk_reward=0.31; sku_bias=NO_COMPARABLE_EVENTS
87653,Emily In Paris Romantic P100,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$94.91; risk_reward=0.37; sku_bias=NO_COMPARABLE_EVENTS
16963,J/Choo Illicit Flower Edt 40Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$90.62; risk_reward=0.37; sku_bias=NO_COMPARABLE_EVENTS
64545,Brilliance 46 Coffee Brown,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$25.78; risk_reward=0.46; sku_bias=NO_COMPARABLE_EVENTS
