sku_number,sku_description,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,audit_notes
56175,Estee Beautiful Belle Edp 50Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=policy_falling_base_launch_total_conflict; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$191.37; risk_reward=0.37; sku_bias=NO_COMPARABLE_EVENTS
51564,Issey Miyake P/Homme Edt 75Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=policy_falling_base_launch_total_conflict; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=52; capital_risk=$98.93; risk_reward=0.44; sku_bias=NO_COMPARABLE_EVENTS
199134,Hada Labo Mens Aaging Crm 50Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$27.58; risk_reward=0.57; sku_bias=NO_COMPARABLE_EVENTS
74330,Exc Cool 8.11 Ult Ash Lgt Bnd,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$23.57; risk_reward=0.62; sku_bias=NO_COMPARABLE_EVENTS
89593,Roh Reset Scalp Wsh 350Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=policy_falling_base_launch_total_conflict; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$20.94; risk_reward=0.71; sku_bias=NO_COMPARABLE_EVENTS
192248,Lor Ret Perm 6 Light Brown,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$18.46; risk_reward=0.61; sku_bias=NO_COMPARABLE_EVENTS
31554,Sukin P/Age Restor Nt Cr 120Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$16.08; risk_reward=0.73; sku_bias=NO_COMPARABLE_EVENTS
350173,Mf Masc False Lash Black/Brown,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$15.35; risk_reward=0.72; sku_bias=NO_COMPARABLE_EVENTS
90463,Mf Mp Wow Liner Dark Navy,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$12.72; risk_reward=0.70; sku_bias=NO_COMPARABLE_EVENTS
38392,May Fit Me Loose Pwd Light Med,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$10.94; risk_reward=0.70; sku_bias=NO_COMPARABLE_EVENTS
