sku_number,report_expected_promo_demand,order_units,projected_stock_gap_units,expected_promo_demand,expected_units_total_promo,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,feature_pre_promo_rolling_demand_units,demand_evidence_label,demand_evidence_class,feature_signal_max,final_minus_feature,feature_exceeds_final_by
916749,1,0,1,1,1,1.75805,0.3888888888888889,0.7143,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
51889,1,0,0,1,1,1.75805,0.3214285714285714,0.2222,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
54491,1,0,0,1,1,1.75805,0.1818181818181818,0.2727,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
193063,1,0,2,1,1,1.75805,0.1875,0.125,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
43529,1,0,1,1,1,1.75735,0.5833333333333334,0.625,0.0,NO_DEMAND,low_nonzero_demand,1.75735,-0.75735,0.75735
88906,1,0,0,1,1,0.7000000000000001,1.3333333333333333,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
90155,1,0,3,1,1,0.7000000000000001,1.75,1.75,21.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
198287,1,0,1,1,1,0.7000000000000001,1.75,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
441317,1,0,1,1,1,1.6333333333333333,1.75,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
90154,1,0,3,1,1,0.9333333333333332,1.75,1.25,21.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
96640,1,0,3,1,1,0.4666666666666667,1.75,1.5,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
579045,1,0,2,1,1,0.9333333333333332,1.642857142857143,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
96600,1,0,2,1,1,0.0080733333333333,1.75,0.0,0.2422,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
387770,1,0,0,1,1,0.7000000000000001,1.75,0.0,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
186090,1,0,0,1,1,0.7000000000000001,1.75,0.0,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
90153,1,0,3,1,1,0.4666666666666667,1.5833333333333333,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
190596,1,0,2,1,1,1.75,0.8000000000000002,1.0,17.5,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
94073,1,0,1,1,1,0.4666666666666667,1.4545454545454546,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
94056,1,0,1,1,1,0.4666666666666667,1.4545454545454546,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
184853,1,0,1,1,1,0.4666666666666667,1.75,1.0,14.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
186490,1,0,0,1,1,0.7000000000000001,1.75,0.0,21.0,NO_DEMAND,low_nonzero_demand,1.75,-0.75,0.75
195440,1,0,3,1,1,0.4666666666666667,1.7407407407407407,1.3,14.0,NO_DEMAND,low_nonzero_demand,1.7407407407407407,-0.7407407407407407,0.7407407407407407
57930,1,0,1,1,1,0.0020066666666666,1.7391304347826086,1.7391,0.0602,NO_DEMAND,low_nonzero_demand,1.7391304347826086,-0.7391304347826086,0.7391304347826086
242845,1,0,0,1,1,0.7000000000000001,1.7391304347826086,1.7391,14.0,NO_DEMAND,low_nonzero_demand,1.7391304347826086,-0.7391304347826086,0.7391304347826086
307459,1,0,0,1,1,0.00098,1.736842105263158,1.0,0.0294,NO_DEMAND,low_nonzero_demand,1.736842105263158,-0.736842105263158,0.736842105263158
44030,1,0,0,1,1,0.9333333333333332,1.7333333333333334,1.5385,28.0,NO_DEMAND,low_nonzero_demand,1.7333333333333334,-0.7333333333333334,0.7333333333333334
192920,1,0,0,1,1,0.4666666666666667,1.7272727272727273,1.7273,14.0,NO_DEMAND,low_nonzero_demand,1.7273,-0.7273000000000001,0.7273000000000001
198720,1,0,2,1,1,0.7000000000000001,1.7222222222222223,1.7222,14.0,NO_DEMAND,low_nonzero_demand,1.7222222222222223,-0.7222222222222223,0.7222222222222223
90325,1,0,0,1,1,1.1666666666666663,1.7142857142857142,1.7143,14.0,NO_DEMAND,low_nonzero_demand,1.7143,-0.7142999999999999,0.7142999999999999
117337,1,0,0,1,1,0.7000000000000001,1.3888888888888886,1.7143,14.0,NO_DEMAND,low_nonzero_demand,1.7143,-0.7142999999999999,0.7142999999999999
75184,1,0,1,1,1,0.7777777777777777,1.7142857142857142,1.0,9.333333333333332,NO_DEMAND,low_nonzero_demand,1.7142857142857142,-0.7142857142857142,0.7142857142857142
63081,1,0,3,1,1,0.7000000000000001,1.7037037037037035,1.3,14.0,NO_DEMAND,low_nonzero_demand,1.7037037037037035,-0.7037037037037035,0.7037037037037035
195409,1,0,2,1,1,0.7000000000000001,1.5185185185185184,1.7,14.0,NO_DEMAND,low_nonzero_demand,1.7,-0.7,0.7
65835,1,0,1,1,1,0.7000000000000001,1.6153846153846156,1.7,14.0,NO_DEMAND,low_nonzero_demand,1.7,-0.7,0.7
36234,1,0,1,1,1,0.00098,1.6956521739130437,1.6957,0.0294,NO_DEMAND,low_nonzero_demand,1.6957,-0.6957,0.6957
36237,1,0,2,1,1,0.2333333333333333,1.6842105263157894,1.6842,7.0,NO_DEMAND,low_nonzero_demand,1.6842105263157894,-0.6842105263157894,0.6842105263157894
199057,1,0,1,1,1,0.4666666666666667,1.681818181818182,1.4286,14.0,NO_DEMAND,low_nonzero_demand,1.681818181818182,-0.6818181818181821,0.6818181818181821
331120,1,0,1,1,1,0.7000000000000001,1.4285714285714286,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
195441,1,0,3,1,1,0.7000000000000001,1.32,1.6667,21.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
94923,1,0,1,1,1,0.6222222222222221,1.6666666666666667,1.6667,18.666666666666664,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
196017,1,0,2,1,1,0.0040133333333333,1.6666666666666667,1.6667,0.1204,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
186282,1,0,0,1,1,0.8400000000000001,1.6666666666666667,1.6667,25.2,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
94955,1,0,0,1,1,0.4666666666666667,0.9,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
48510,1,0,0,1,1,0.4666666666666667,1.6666666666666667,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
330310,1,0,0,1,1,0.9333333333333332,1.6666666666666667,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
94956,1,0,1,1,1,0.00098,0.9,1.6667,0.0294,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
650242,1,0,0,1,1,0.4666666666666667,1.6666666666666667,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
56513,1,0,2,1,1,0.4666666666666667,0.96,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
321427,1,0,0,1,1,0.7000000000000001,1.6666666666666667,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
677477,1,0,2,1,1,0.7000000000000001,1.6666666666666667,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
66768,1,0,0,1,1,0.9333333333333332,1.3125,1.6667,28.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
60630,1,0,0,1,1,0.4666666666666667,1.48,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.6667,-0.6667000000000001,0.6667000000000001
185622,1,0,0,1,1,0.7000000000000001,1.6666666666666667,0.0,14.0,NO_DEMAND,low_nonzero_demand,1.6666666666666667,-0.6666666666666667,0.6666666666666667
194739,1,0,0,1,1,0.9333333333333332,1.6666666666666667,0.0,28.0,NO_DEMAND,low_nonzero_demand,1.6666666666666667,-0.6666666666666667,0.6666666666666667
94559,1,0,0,1,1,0.4666666666666667,1.6666666666666667,0.0,14.0,NO_DEMAND,low_nonzero_demand,1.6666666666666667,-0.6666666666666667,0.6666666666666667
192168,1,0,0,1,1,0.3888888888888888,1.6666666666666667,1.3333,4.666666666666666,NO_DEMAND,low_nonzero_demand,1.6666666666666667,-0.6666666666666667,0.6666666666666667
199052,1,0,0,1,1,0.7000000000000001,1.6666666666666667,1.375,14.0,NO_DEMAND,low_nonzero_demand,1.6666666666666667,-0.6666666666666667,0.6666666666666667
94529,1,0,0,1,1,1.4,1.6666666666666667,1.0,42.0,NO_DEMAND,low_nonzero_demand,1.6666666666666667,-0.6666666666666667,0.6666666666666667
193125,1,0,3,1,1,0.9333333333333332,1.6666666666666667,1.6,14.0,NO_DEMAND,low_nonzero_demand,1.6666666666666667,-0.6666666666666667,0.6666666666666667
380675,1,0,1,1,1,0.9333333333333332,1.6499999999999997,0.0,14.0,NO_DEMAND,low_nonzero_demand,1.6499999999999997,-0.6499999999999997,0.6499999999999997
192343,1,0,0,1,1,0.7000000000000001,1.6428571428571428,1.6429,14.0,NO_DEMAND,low_nonzero_demand,1.6429,-0.6429,0.6429
260843,1,0,0,1,1,0.00098,1.6428571428571428,1.6429,0.0294,NO_DEMAND,low_nonzero_demand,1.6429,-0.6429,0.6429
198999,1,0,3,1,1,0.7000000000000001,1.6428571428571428,0.0,14.0,NO_DEMAND,low_nonzero_demand,1.6428571428571428,-0.6428571428571428,0.6428571428571428
193213,1,0,3,1,1,0.4666666666666667,1.6363636363636365,1.6364,14.0,NO_DEMAND,low_nonzero_demand,1.6364,-0.6364000000000001,0.6364000000000001
65606,1,0,2,1,1,0.00098,1.4615384615384617,1.6364,0.0294,NO_DEMAND,low_nonzero_demand,1.6364,-0.6364000000000001,0.6364000000000001
94059,1,0,0,1,1,0.4666666666666667,1.6363636363636365,1.5,14.0,NO_DEMAND,low_nonzero_demand,1.6363636363636365,-0.6363636363636365,0.6363636363636365
