sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
24359,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,32.1,26.1,184,-4.684,-0.195,VERY_LOW,27.049,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-128,economic_value_major_downgrade
192181,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.3,26.1,185,-3.008,-0.125,VERY_LOW,29.327,0.0,1.205,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-31,economic_value_downgrade
41541,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,31.6,26.1,186,-20.733,-0.864,VERY_LOW,3.749,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-119,economic_value_major_downgrade
230758,0.0,BATH TOILETRIES,unknown,HIGH_PRIORITY_BUY_REVIEW,30.7,26.0,187,-19.679,-0.82,VERY_LOW,4.67,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-84,economic_value_major_downgrade
271519,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.8,26.0,188,-21.903,-0.913,VERY_LOW,2.729,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-52,economic_value_major_downgrade
483788,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,32.8,26.0,189,-13.439,-0.56,VERY_LOW,14.762,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-149,economic_value_major_downgrade
88315,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,29.1,26.0,190,-26.114,-1.088,VERY_LOW,1.995,0.0,1.103,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-27,economic_value_downgrade
90934,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,26.5,26.0,191,-17.858,-0.744,VERY_LOW,11.363,0.0,0.86,AGGRESSIVE_BUY,AGGRESSIVE_BUY,64,economic_roi_major_uplift
95870,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,29.2,26.0,192,-22.104,-0.921,VERY_LOW,2.436,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-32,economic_value_downgrade
95893,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,29.3,26.0,193,-22.966,-0.957,VERY_LOW,1.328,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-38,economic_value_downgrade
