sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
190200,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,9.5,21.2,1178,-32.085,-2.005,VERY_LOW,4.325,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1052,economic_roi_major_uplift
192238,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,7.5,19.6,1681,-37.362,-2.335,VERY_LOW,3.638,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1051,economic_roi_major_uplift
94918,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,4.6,18.2,2416,-37.213,-2.326,VERY_LOW,3.787,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1051,economic_roi_major_uplift
57563,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,3.1,17.7,2687,-38.508,-2.407,VERY_LOW,2.492,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1050,economic_roi_major_uplift
24553,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,8.9,20.8,1308,15.668,0.979,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1048,economic_roi_major_uplift
613800,0.0,DEODORANTS,unknown,STANDARD_BUY_REVIEW,2.5,17.6,2822,-39.82,-2.489,VERY_LOW,1.18,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1047,economic_roi_major_uplift
92236,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,2.5,17.6,2824,-36.094,-2.256,VERY_LOW,5.94,0.0,0.345,CONTROLLED_BUY,CONTROLLED_BUY,1046,economic_roi_major_uplift
710067,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,4.3,18.1,2473,-39.547,-2.472,VERY_LOW,1.453,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1045,economic_roi_major_uplift
90840,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,3.4,17.8,2652,-55.816,-2.326,VERY_LOW,1.848,0.0,2.169,CONTROLLED_BUY,CONTROLLED_BUY,1045,economic_roi_major_uplift
195446,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,13.5,24.0,457,55.638,3.477,LOW,3.676,41.112,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1045,economic_roi_major_uplift
