sku_number,promotion_name,raw,calibrated,policy_adjusted,feature_consensus,ratio_cal_over_raw,ratio_pol_over_cal,ratio_pol_over_raw,policy_adjustment_reason,department,category,supplier,forecast_source_used,forecast_source_raw_units,selected_demand_units,promo_window_demand_units
52116,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,1.6363636363636365,1.0,1.0,1.0,weak_elasticity_uplift_restraint,DEODORANTS,WOMENS DEODORANT,0,baseline_expected_units,7.0,1,1
43917,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,0.5238095238095238,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,HAIRCARE,COLOURANTS,0,predicted_units_sold,0.0369457470499325,1,1
90839,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,3.0,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
98033,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,0.51575,0.039788070816737915,1.0,0.039788070816737915,weak_same_discount_and_uplift_cap,COLOUR COSMETICS,RIMMEL,0,required_implied_units,0.0315,1,1
98034,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,0.51575,0.039788070816737915,1.0,0.039788070816737915,weak_same_discount_and_uplift_cap,COLOUR COSMETICS,RIMMEL,0,required_implied_units,0.0315,1,1
87651,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,2.5e-07,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,SKINCARE,NATURAL,0,required_implied_units,0.0161,1,1
94062,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,1.2857142857142858,0.039788070816737915,1.0,0.039788070816737915,weak_elasticity_uplift_restraint,COLOUR COSMETICS,NYX,0,required_implied_units,0.0315,1,1
43765,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,3.1666666666666665,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
189354,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,0.6,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,ACNE,0,predicted_units_sold,0.0369457470499325,1,1
34115,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.8181818181818182,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,COLOUR COSMETICS,RIMMEL,0,required_implied_units,0.0161,1,1
388823,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.2,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,THERAPEUTIC,0,predicted_units_sold,0.0369457470499325,1,1
