segment,row_count,actual_units_total,forecast_units_total,forecast_bias_units,forecast_bias_pct,wape,mae,rmse,model_beats_baseline_pct,model_beats_historical_proxy_pct,median_actual_units,median_forecast_units,p75_abs_error,p95_abs_error,baseline_wape,historical_proxy_wape,segment_row_share_pct
category=ANTI VIRAL,10,4.0,3.604,-0.3959999999999998,-9.899999999999995,0.26449999999999996,0.10579999999999998,0.19455898848421266,80.0,80.0,0.0,0.053,0.06574999999999996,0.3562999999999994,1.11175,1.11175,0.01912594434350196
category=AT HOME WHITENING,109,81.0,47.646,-33.354,-41.17777777777778,0.5625185185185185,0.41801834862385323,1.07395241040584,70.64220183486239,70.64220183486239,0.0,0.053,0.3999999999999999,1.6311999999999998,1.1468271604938272,1.1468271604938272,0.20847279334417138
category=AUSTRALIS,516,282.0,166.07399999999996,-115.92599999999999,-41.108510638297865,0.5843546099290781,0.3193565891472868,0.8290340554623068,70.34883720930233,70.34883720930233,0.0,0.053,0.06699999999999995,1.533,1.0088829787234044,1.0088829787234044,0.9868987281247011
category=BABY FOOD,7,1.0,1.5350000000000001,0.535,53.5,0.535,0.07642857142857143,0.15918138800033843,42.857142857142854,42.857142857142854,0.0,0.029,0.034,0.30209999999999976,1.4420000000000002,1.4420000000000002,0.013388161040451372
category=BABY NEEDS,189,56.0,51.275999999999996,-4.724,-8.435714285714287,0.569392857142857,0.1687089947089947,0.3790573939873854,58.201058201058196,58.201058201058196,0.0,0.053,0.062,0.998,2.200071428571429,2.200071428571429,0.36148034809218704
category=BARRY M,980,369.0,232.27399999999994,-136.726,-37.05311653116531,0.6203197831978319,0.233569387755102,0.5446632567608228,55.40816326530612,55.40816326530612,0.0,0.053,0.06699999999999995,1.067,1.2767642276422766,1.2767642276422766,1.8743425456631921
category=BATH ACCESSORIES,191,258.0,201.86300000000003,-56.13700000000001,-21.758527131782948,0.5279573643410852,0.7131570680628272,1.1460775925597444,62.82722513089005,62.82722513089005,1.0,0.933,1.033,2.7,0.8227674418604651,0.8227674418604651,0.36530553696088747
category=BATH BODY SEASONAL,97,3.0,4.9799999999999995,1.9800000000000002,66.0,0.9513333333333334,0.029422680412371133,0.03805855499421152,4.123711340206185,4.123711340206185,0.0,0.029,0.034,0.0357999999999999,1.0,1.0,0.18552166013196902
category=BEAUTY FROM WITHIN,252,170.0,99.06300000000002,-70.93699999999998,-41.72764705882352,0.6538176470588235,0.4410674603174603,1.0353341286447133,60.317460317460316,60.317460317460316,0.0,0.053,0.5217499999999999,1.9893999999999998,1.1069,1.1069,0.4819737974562494
category=BEAUTY TOOLS,1016,754.0,524.53,-229.47,-30.43368700265252,0.5476923076923077,0.4064566929133859,0.8102820994620709,71.55511811023622,71.55511811023622,0.0,0.062,0.4179999999999999,1.996,1.3589575596816976,1.3589575596816976,1.943195945299799
category=BOWEL,154,86.0,68.38399999999999,-17.616,-20.483720930232558,0.5728372093023255,0.31989610389610384,0.64201340156745,59.09090909090909,59.09090909090909,0.0,0.053,0.3999999999999999,1.383449999999999,1.3465930232558139,1.3465930232558139,0.2945395428899302
category=BRACE AND SUPPORT,9,3.0,4.467,1.4669999999999996,48.89999999999999,0.4889999999999999,0.16299999999999995,0.2342953975931523,66.66666666666666,66.66666666666666,0.0,0.053,0.3999999999999999,0.3999999999999999,1.3333333333333333,1.3333333333333333,0.017213349909151764
category=BROWS,120,76.0,52.489999999999995,-23.51,-30.93421052631579,0.6232368421052632,0.39471666666666666,0.7952914245734075,69.16666666666667,69.16666666666667,0.0,0.053,0.5329999999999999,1.9923,1.7451710526315787,1.7451710526315787,0.22951133212202354
category=CATRICE,801,205.0,213.97499999999997,8.974999999999998,4.378048780487804,0.5789414634146341,0.1481685393258427,0.3235150325404531,52.18476903870163,52.18476903870163,0.0,0.053,0.053,0.905,1.4409999999999998,1.4409999999999998,1.531988141914507
category=CCOLD TAB CAPS,36,31.0,23.294999999999998,-7.705,-24.85483870967742,0.5069354838709678,0.4365277777777778,0.7616310166711671,50.0,50.0,1.0,0.2775,0.5235000000000001,1.924,0.915483870967742,0.915483870967742,0.06885339963660705
category=COLOR COS MNR BRND,104,80.0,42.053,-37.947,-47.43375,0.6755375,0.5196442307692307,1.2911637081152205,29.807692307692307,29.807692307692307,0.0,0.053,0.258,2.6,0.875,0.875,0.1989098211724204
category=COLOURANTS,1136,365.0,258.36299999999994,-106.637,-29.21561643835616,0.612227397260274,0.19671038732394366,0.522762979678683,62.940140845070424,62.940140845070424,0.0,0.053,0.053,0.998,1.5511232876712329,1.5511232876712329,2.172707277421823
category=COS BAGS EVERYDAY,53,12.0,11.290000000000003,-0.7099999999999999,-5.916666666666665,0.424,0.096,0.1714851883146785,52.83018867924528,52.83018867924528,0.0,0.053,0.053,0.4591999999999999,2.5972500000000003,2.5972500000000003,0.10136750502056038
category=COS BAGS SEASONAL,5,0.0,0.09,0.09,0.0,0.0,0.018,0.018,0.0,0.0,0.0,0.018,0.018,0.018,0.0,0.0,0.00956297217175098
category=COSMECEUTICAL,2412,2990.0,1466.324,-1523.676,-50.9590635451505,0.6448153846153847,0.7993358208955225,2.2097159289675683,70.1492537313433,70.1492537313433,0.0,0.053,0.933,3.757799999999999,1.224888294314381,1.224888294314381,4.613177775652673
category=COTTON PRODUCTS,30,145.0,87.84299999999999,-57.157,-39.41862068965517,0.4979655172413794,2.4068333333333336,3.8860269728005408,63.33333333333333,63.33333333333333,3.0,1.75,3.18325,8.071799999999998,1.2498827586206898,1.2498827586206898,0.057377833030505886
category=DAILY LIVING AIDS,1,0.0,0.018,0.018,0.0,0.0,0.018,0.018,0.0,0.0,0.0,0.018,0.018,0.018,0.0,0.0,0.001912594434350196
category=DAILY WELLBEING SU,308,342.0,139.19,-202.81,-59.301169590643276,0.7000701754385966,0.7773506493506495,2.4771196052998814,57.467532467532465,57.467532467532465,0.0,0.053,0.783,3.067,0.9888099415204679,0.9888099415204679,0.5890790857798603
category=DENTAL CARE,148,446.0,174.04399999999998,-271.95599999999996,-60.97668161434977,0.7165156950672646,2.15922972972973,3.8132279632877966,56.08108108108109,56.08108108108109,1.0,0.933,2.89825,9.2201,0.7910807174887893,0.7910807174887893,0.283063976283829
category=DERMA COS,1105,4535.0,1024.854,-3510.1459999999997,-77.40123484013229,0.8791651598676957,3.6081574660633486,13.66052566109945,59.18552036199095,59.18552036199095,1.0,0.622,2.6,12.568799999999992,0.901057993384785,0.901057993384785,2.1134168499569665
category=DIGESTIVE HLTH SUP,278,291.0,105.40499999999999,-185.59499999999997,-63.77835051546391,0.7519072164948454,0.787068345323741,2.9684461811216702,55.39568345323741,55.39568345323741,0.0,0.053,0.4950000000000001,2.659699999999991,1.082872852233677,1.082872852233677,0.5317012527493545
