sku_number,sku_description,decision,decision_quality_label,confidence_score,data_quality_score,demand_evidence_strength,promo_period_demand_source,promo_units_expected_to_sell,recommended_order_units,commercial_coverage_ratio,remaining_promo_sales_stock_gap,remaining_end_stock_gap,execution_ready_flag,execution_blocker,proposed_action_tier
90912,Cerave Face Moist Lotion Spf50,REVIEW,REVIEW_STOCK_GAP,50,100.0,MODERATE,same_discount_history,21.0,20,0.182,0,90,NO,,tier_3_review_evidence_gap
91149,Col Tp Adv Wht Baking Soda 180,REVIEW,REVIEW_STOCK_GAP,47,77.0,MODERATE,baseline_period_demand,21.0,21,0.189,0,90,NO,,tier_3_review_evidence_gap
188699,Cerave Hydrating Clns 473Ml,REVIEW,REVIEW_STOCK_GAP,48,100.0,MODERATE,same_discount_history,20.0,17,0.165,0,86,NO,,tier_3_review_evidence_gap
92847,Cerave Hydrating Cleans Refill,REVIEW,REVIEW_STOCK_GAP,25,100.0,MODERATE,same_discount_history,20.0,0,0.0,20,86,NO,,tier_3_review_evidence_gap
87550,Lrp Xl Wet Skin Spf 50+ 200Ml,REVIEW,REVIEW_STOCK_GAP,40,94.0,MODERATE,same_discount_history,19.0,0,0.0,19,81,NO,,tier_3_review_evidence_gap
188704,Cerave Foaming Cleanser 473Ml,REVIEW,REVIEW_STOCK_GAP,49,100.0,MODERATE,same_discount_history,18.0,18,0.189,0,77,NO,,tier_3_review_evidence_gap
88414,Es Lashes To Impress 03,REVIEW,REVIEW_STOCK_GAP,60,77.0,MODERATE,baseline_period_demand,17.5,17,0.185,0,75,NO,,tier_3_review_evidence_gap
698571,Bioderma Sensibio H20 500Ml,REVIEW,REVIEW_STOCK_GAP,33,94.0,MODERATE,same_discount_history,16.818,0,0.0,4,72,NO,,tier_3_review_evidence_gap
948829,Lrp Soothing Lotion 200Ml,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,16.333,0,0.0,2,70,NO,,tier_3_review_evidence_gap
90914,Cerave Int Moist Lotion 473,REVIEW,REVIEW_STOCK_GAP,49,100.0,MODERATE,same_discount_history,16.0,15,0.179,0,69,NO,,tier_3_review_evidence_gap
92848,Cerave Moist Cream Refill,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,16.0,2,0.024,14,69,NO,,tier_3_review_evidence_gap
92849,Cerave Moist Lotion Refill,REVIEW,REVIEW_STOCK_GAP,25,94.0,MODERATE,same_discount_history,16.0,0,0.0,13,69,NO,,tier_3_review_evidence_gap
