sku_number,sku_description,baseline_period_demand_units,same_discount_promo_units,selected_before,selected_after,decision_before,decision_after,recommended_order_before,recommended_order_after,reason
195439,Npmu Duck Plmp Cherry Spic,7.0,0.588,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
195431,Npmu Duck Plmp Nude Swings,7.0,1.235,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
195424,Npmu Fat Oil Slick Going Viral,7.0,2.294,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
90838,Palmer'S Coco Cream 250G,7.0,1.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
192994,Rim Lasting Matte Ls 900,7.0,0.267,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
974331,Rim Oh My Gloss 130 Purr Cat,7.0,0.636,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
34113,Rim Eyebrow Pencil D/Brown,7.0,0.688,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
806463,Olay T/Eff+ Normal Moist 50G,7.0,0.4,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
731188,Olay T/Eff+ Gntl Spf Moist 50G,7.0,0.905,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
190137,Essano Hydrate Sp 600Ml,7.0,0.6,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
1226,May Fit Me Mte Pore Fdn Porc,7.0,0.478,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
521213,Rosehip By Essano 20Ml,7.0,1.667,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
310832,Dv Dn Moist Lotion 500Ml,7.0,1.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
195432,Npmu Duck Plmp Apri-Caugh,7.0,0.647,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
32866,Palmers Body Str Mrk Oil 100Ml,7.0,1.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
645745,Olay Moist Sens Cream 100G,7.0,1.125,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
679208,Palmers Shea Butter Ltn 400Ml,7.0,1.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
192359,Clairol Blonde Kit Plat,7.0,0.6,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
95495,Rexona Wmn Deo Frsh Ctrs 230Ml,7.0,0.75,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
95494,Rexona Wmn Deo Wild Rose 230Ml,7.0,0.75,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
19966,Rim Xtra L/Lash Masc Xtrm Blck,7.0,1.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
52118,Rexona W Apd A/Inv Fresh 220Ml,7.0,1.454,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
52116,Rexona W Apd Adv Inv/P 220Ml,7.0,1.636,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
727,Rim 60Sec N/P 740 Clear,7.0,0.312,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
14083,Rim 60Sec N/P 340 Berries Crm,7.0,0.375,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
41206,Olay Whips Regnrst Fce Crm 50G,7.0,0.269,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94874,Essano Coll Cleans Oil 150Ml,7.0,0.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
196240,Mf Lipfinity Pearly Nude 001,7.0,0.273,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
15769,Npmu 3C Palette Light,7.0,1.235,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
90439,Rim Omg Lip Btr Treat 003,7.0,0.667,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
199751,Rim Oh My Gloss Lipoil Pnk Fls,7.0,0.786,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
195994,May Hyp Prec Liner 730 Jungle,7.0,0.546,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
18258,Rim Masc Scandaleyes Reloaded,7.0,0.308,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96154,Rim My Plump Lip Shaper Ll Hny,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96153,Rim My Plump Lip Shaper Ll Cte,7.0,0.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
90447,Mf F.L Eff Rchrg Masc Blk,7.0,0.143,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94869,Essano Vit C Serum 30Ml,7.0,0.333,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
73217,Dv Ultralight D/Lot Spf50+50Ml,7.0,0.636,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
102282,Mf Lipfinity Spirtual,7.0,0.111,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
196932,Rim Better Filters Medium Deep,7.0,0.059,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
196931,Rim Better Filters Medium,7.0,0.176,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
95024,Essano Coll Retinol Oil 20Ml,7.0,0.333,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
521120,May L/S Superstay Perpet Plum,7.0,0.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
29850,Dv Ehg Soap-Free 500Ml,7.0,0.833,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94011,May Ss Teddy 115 Coffeedate,7.0,0.454,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94872,Essano Coll Face Moist 100Ml,7.0,0.333,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
54487,Mf Clr Elix Kiss 80 Chilli,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
67686,Rim Wndr Ext Masc Very Blk,7.0,0.579,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
521310,May Fit Me Concealer Medium,7.0,2.087,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
90149,Npmu Duck Plump Ll Sienna,7.0,1.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
66788,Mf Ce Lip Liner Desert Sand,7.0,0.375,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
729841,Rim P/Powder Peach Glow,7.0,0.467,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
67697,Rim Lst Fin L/L Pnk Enchnt,7.0,0.812,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
341556,Rim Cover Stick Ivory,7.0,0.562,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
