sku_number,pre_promo_demand_units,promo_window_demand_units,total_expected_demand_units,pre_minus_promo,days_until_promo_start,promo_window_days
94076,0.0,0.0161,0.0161,-0.0161,63,7
65589,0.0,0.0161,0.0161,-0.0161,63,7
97198,0.0,0.0161,0.0161,-0.0161,63,7
92332,0.0,0.0161,0.0161,-0.0161,63,7
97127,0.0,0.0161,0.0161,-0.0161,63,7
72934,0.0,0.0161,0.0161,-0.0161,63,7
189516,0.0,0.0161,0.0161,-0.0161,63,7
90998,0.0,0.0161,0.0161,-0.0161,63,7
22488,0.0,0.0161,0.0161,-0.0161,63,7
15826,0.0,0.0161,0.0161,-0.0161,63,7
87651,0.0,0.0161,0.0161,-0.0161,63,7
98084,0.0,0.0161,0.0161,-0.0161,63,7
196196,0.0,0.0161,0.0161,-0.0161,63,7
43901,0.0,0.0161,0.0161,-0.0161,63,7
667980,0.0,0.0161,0.0161,-0.0161,63,7
626449,0.0,0.0161,0.0161,-0.0161,63,7
35779,0.0,0.0161,0.0161,-0.0161,63,7
93739,0.0,0.0161,0.0161,-0.0161,63,7
89074,0.0,0.0161,0.0161,-0.0161,63,7
94004,0.0,0.0161,0.0161,-0.0161,63,7
65835,0.0,0.0161,0.0161,-0.0161,63,7
57936,0.0,0.0161,0.0161,-0.0161,63,7
93913,0.0,0.0161,0.0161,-0.0161,63,7
192210,0.0,0.0161,0.0161,-0.0161,63,7
195430,0.0,0.0161,0.0161,-0.0161,63,7
96152,0.0,0.0161,0.0161,-0.0161,63,7
94575,0.0,0.0161,0.0161,-0.0161,63,7
91460,0.0,0.0161,0.0161,-0.0161,63,7
196552,0.0,0.0161,0.0161,-0.0161,63,7
190076,0.0,0.0161,0.0161,-0.0161,63,7
745111,0.0,0.0161,0.0161,-0.0161,63,7
198933,0.0,0.0161,0.0161,-0.0161,63,7
90452,0.0,0.0161,0.0161,-0.0161,63,7
192008,0.0,0.0161,0.0161,-0.0161,63,7
192860,0.0,0.0161,0.0161,-0.0161,63,7
72603,0.0,0.0161,0.0161,-0.0161,63,7
191385,0.0,0.0161,0.0161,-0.0161,63,7
667287,0.0,0.0161,0.0161,-0.0161,63,7
