sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
984248,0.1099,0.1099,0,0,0.0073266666666666,4.083333333333333,4.0833,0.1099,LOW_NONZERO_DEMAND,low_nonzero_demand,4.083333333333333,3.973433333333333
187119,0.0315,0.0315,0,0,0.0021,2.01575,4.0,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0,3.9685
90331,0.0315,0.0315,0,0,0.0021,2.3333333333333335,4.0,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0,3.9685
190097,0.0476,0.0476,0,0,0.0031733333333333,4.0,0.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0,3.9524
94659,0.0528,0.0528,0,0,0.0,4.0000005,0.0,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0000005,3.9472004999999997
90781,0.0528,0.0528,0,0,0.0,2.0000005,4.0,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0,3.9472
187645,0.0623,0.0623,0,0,0.0041533333333333,4.0,3.0,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0,3.9377
195115,0.0938,0.0938,0,0,0.0062533333333333,4.0,4.0,0.0938,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0,3.9062
94219,0.1876,0.1876,1,1,0.0125066666666666,4.0,4.0,0.1876,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0,3.8124000000000002
37032,0.0623,0.0623,0,0,0.0041533333333333,3.8666666666666663,3.8667,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,3.8667,3.8044
193713,1.9999,1.9999,0,0,0.0021,5.166666666666667,5.8,1.9999,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,5.8,3.8000999999999996
63109,0.0784,0.0784,0,0,0.0052266666666666,3.823529411764706,3.8235,0.0784,LOW_NONZERO_DEMAND,low_nonzero_demand,3.823529411764706,3.7451294117647063
15186,0.0315,0.0315,0,0,0.0021,3.75,3.75,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.75,3.7185
68375,0.0315,0.0315,1,1,0.0021,3.75,3.75,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.75,3.7185
49607,0.0161,0.0161,0,0,0.0010733333333333,3.7333333333333334,3.7333,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.7333333333333334,3.7172333333333336
195429,0.0315,0.0315,0,0,0.0021,3.7058823529411766,3.7059,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.7059,3.6744000000000003
72934,0.0161,0.0161,0,0,0.0010733333333333,3.25,3.6667,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6667,3.6506000000000003
984256,0.0476,0.0476,0,0,0.0031733333333333,3.6666666666666665,3.6667,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6667,3.6191
94478,0.0528,0.0528,0,0,0.0,3.6666666666666665,0.5,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6666666666666665,3.6138666666666666
55054,1.9999,1.9999,2,2,0.0031733333333333,5.565217391304348,5.5652,1.9999,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,5.565217391304348,3.5653173913043474
33267,0.0784,0.0784,0,0,0.0052266666666666,3.642857142857143,3.6429,0.0784,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6429,3.5645000000000002
10432,0.0476,0.0476,0,0,0.0031733333333333,3.5,3.6,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6,3.5524
93920,0.1253,0.1253,0,0,0.0083533333333333,3.6666666666666665,3.5,0.1253,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6666666666666665,3.5413666666666663
190072,0.0315,0.0315,0,0,0.0021,3.5555555555555554,0.0,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.5555555555555554,3.5240555555555555
190067,0.0476,0.0476,0,0,0.0031733333333333,3.5555555555555554,0.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.5555555555555554,3.5079555555555553
41542,0.1099,0.1099,0,0,0.0073266666666666,3.6,0.0,0.1099,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6,3.4901
96600,0.0161,0.0161,0,0,0.0010733333333333,3.5,3.5,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.5,3.4839
820504,0.0161,0.0161,0,0,0.0010733333333333,3.272727272727273,3.5,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.5,3.4839
41319,0.0315,0.0315,0,0,0.0021,3.5,3.5,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.5,3.4685
42436,0.1414,0.1414,0,0,0.0094266666666666,3.6,0.0,0.1414,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6,3.4586
73683,0.1561,0.1561,0,0,0.0104066666666666,3.6,2.0,0.1561,LOW_NONZERO_DEMAND,low_nonzero_demand,3.6,3.4439
437883,0.0161,0.0161,0,0,0.0010733333333333,3.4444444444444446,1.8,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.4444444444444446,3.428344444444445
688304,0.0476,0.0476,0,0,0.0031733333333333,3.4705882352941178,2.3333,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.4705882352941178,3.4229882352941177
49090,0.1099,0.1099,0,0,0.0073266666666666,3.5,3.5,0.1099,LOW_NONZERO_DEMAND,low_nonzero_demand,3.5,3.3901
41594,0.1414,0.1414,0,0,0.0094266666666666,3.5217391304347827,3.5217,0.1414,LOW_NONZERO_DEMAND,low_nonzero_demand,3.5217391304347827,3.3803391304347827
60947,0.1253,0.1253,0,0,0.0083533333333333,3.5000005,3.5,0.1253,LOW_NONZERO_DEMAND,low_nonzero_demand,3.5000005,3.3747005
36133,0.0315,0.0315,0,0,0.0021,3.391304347826087,3.3913,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.391304347826087,3.359804347826087
33265,0.0938,0.0938,0,0,0.0062533333333333,3.4285714285714284,3.4286,0.0938,LOW_NONZERO_DEMAND,low_nonzero_demand,3.4286,3.3348
36115,0.0315,0.0315,0,0,0.0021,3.363636363636364,3.3636,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.363636363636364,3.3321363636363643
41548,0.0623,0.0623,0,0,0.0041533333333333,3.388888888888889,0.0,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,3.388888888888889,3.326588888888889
