sku_number,raw_total_promo_units,calibrated_total_promo_units,policy_adj_total_promo_units,final_daily_x_promo_days,baseline_x_promo_days,feature_consensus_total,feature_first7_total,promo_days,selected_demand_units,promo_window_demand_units,demand_forecast_basis,rounds_to_0or1,anti_collapse_floor_applied,feature_signal_max,feature_exceeds_final_by,collapse_category
199951,0.369,0.369,0.259,0.259,0.0,0.3333334999999999,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.3333334999999999,0.0,anti_collapse_repair_to_1
252999,0.431,0.037,0.037,0.037,0.549,5.875,0.0052266666666666,7.0,1,1,MODEL_PREDICTION,True,True,5.875,4.875,anti_collapse_repair_to_1
189584,0.369,0.369,0.259,0.259,0.0,0.2222222222222222,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.2222222222222222,0.0,anti_collapse_repair_to_1
29850,0.369,0.369,0.369,0.369,0.0,0.8333333333333334,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
66788,0.369,0.369,0.369,0.369,0.0,0.375,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
192801,0.369,0.008,0.008,0.008,0.113,0.8947368421052632,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.8947368421052632,0.0,anti_collapse_repair_to_1
916749,0.369,0.369,0.259,0.259,0.0,0.1818181818181818,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1818181818181818,0.0,anti_collapse_repair_to_1
34430,0.369,0.369,0.259,0.259,0.0,0.1875,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1875,0.0,anti_collapse_repair_to_1
189005,0.369,0.008,0.008,0.008,0.113,1.625,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,1.625,0.625,anti_collapse_repair_to_1
193834,0.369,0.103,0.103,0.103,0.0,0.2777777777777778,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.2777777777777778,0.0,anti_collapse_repair_to_1
