sku_number,decision,optimal_order_units_to_reach_day_one_stock,recommended_order_units,remaining_gap_after_recommended_order_units,recommendation_coverage_ratio,recommendation_constraint_reason,stock_gap_units
933619,REVIEW,10,0,10,0.0,review_required,9.666
196196,REVIEW,8,0,8,0.0,review_required,8.214
189276,REVIEW,5,0,5,0.0,review_required,5.214
188951,REVIEW,7,2,5,0.286,review_required,7.107
65559,REVIEW,6,0,6,0.0,review_required,6.063
7682,REVIEW,8,0,8,0.0,review_required,7.536
49295,REVIEW,5,0,5,0.0,review_required,5.309
94273,REVIEW,5,0,5,0.0,review_required,4.857
73683,REVIEW,4,0,4,0.0,review_required,3.857
90154,REVIEW,8,0,8,0.0,review_required,7.857
97991,REVIEW,7,0,7,0.0,review_required,6.857
27980,REVIEW,7,0,7,0.0,review_required,6.857
192258,REVIEW,6,0,6,0.0,review_required,5.857
958824,REVIEW,6,0,6,0.0,review_required,5.857
27194,REVIEW,0,0,0,,none_gap_closed,-0.143
199845,REVIEW,6,0,6,0.0,review_required,5.857
189272,REVIEW,7,0,7,0.0,review_required,6.857
65916,REVIEW,7,0,7,0.0,review_required,6.857
92467,REVIEW,3,0,3,0.0,review_required,2.857
54777,REVIEW,6,0,6,0.0,review_required,5.857
191670,REVIEW,5,0,5,0.0,review_required,4.857
188810,REVIEW,5,0,5,0.0,review_required,4.857
199060,REVIEW,7,0,7,0.0,review_required,6.857
40167,REVIEW,11,2,9,0.182,review_required,10.571
71228,REVIEW,7,0,7,0.0,review_required,6.857
70356,REVIEW,8,0,8,0.0,review_required,7.857
87763,REVIEW,6,0,6,0.0,review_required,5.857
371246,REVIEW,8,0,8,0.0,review_required,7.857
11896,REVIEW,6,0,6,0.0,review_required,5.857
96640,REVIEW,7,0,7,0.0,review_required,6.857
96641,REVIEW,7,0,7,0.0,review_required,6.857
186518,REVIEW,7,0,7,0.0,review_required,6.857
97994,REVIEW,6,0,6,0.0,review_required,5.857
197891,REVIEW,2,0,2,0.0,review_required,2.314
192198,REVIEW,5,0,5,0.0,review_required,5.254
356859,REVIEW,7,0,7,0.0,review_required,7.179
958816,REVIEW,6,0,6,0.0,review_required,6.081
55681,REVIEW,6,0,6,0.0,review_required,6.081
33268,REVIEW,6,0,6,0.0,review_required,6.081
22900,REVIEW,0,0,0,,none_gap_closed,-3.048
437883,REVIEW,7,0,7,0.0,review_required,6.771
