sku_number,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,formula_before,projected_stock_on_hand_at_promo_start_before_order_units,before_mismatch
1485,9,0,0.81,8.19,8.19,0.0
321943,5,0,0.81,4.19,4.19,0.0
11822,8,0,0.786,7.214,7.214,0.0
193196,3,0,0.786,2.214,2.214,0.0
93914,14,0,0.786,13.214,13.214,0.0
92857,7,0,0.786,6.214,6.214,0.0
390771,7,0,0.771,6.229,6.229,0.0
71227,9,0,0.762,8.238,8.238,0.0
698520,6,0,0.762,5.238,5.238,0.0
195050,5,0,0.762,4.238,4.238,0.0
93976,1,3,0.753,3.247,3.247,0.0
390941,4,0,0.745,3.255,3.255,0.0
41313,7,0,0.743,6.257,6.257,0.0
195444,2,3,0.731,4.269,4.269,0.0
188031,3,0,0.714,2.286,2.286,0.0
63415,6,0,0.714,5.286,5.286,0.0
49685,15,0,0.714,14.286,14.286,0.0
11895,6,0,0.714,5.286,5.286,0.0
60949,8,0,0.714,7.286,7.286,0.0
93919,5,0,0.714,4.286,4.286,0.0
93916,5,0,0.714,4.286,4.286,0.0
396133,5,0,0.673,4.327,4.327,0.0
11831,11,0,0.667,10.333,10.333,0.0
688223,4,0,0.667,3.333,3.333,0.0
15733,3,0,0.655,2.345,2.345,0.0
33269,12,0,0.653,11.347,11.347,0.0
94457,4,0,0.653,3.347,3.347,0.0
688355,9,0,0.643,8.357,8.357,0.0
636886,7,0,0.643,6.357,6.357,0.0
346268,5,0,0.629,4.371,4.371,0.0
94132,0,0,0.619,0.0,0.0,0.0
186358,8,0,0.619,7.381,7.381,0.0
65557,8,0,0.619,7.381,7.381,0.0
61548,3,0,0.619,2.381,2.381,0.0
22904,3,0,0.619,2.381,2.381,0.0
458104,3,0,0.619,2.381,2.381,0.0
56278,7,0,0.616,6.384,6.384,0.0
33264,6,0,0.612,5.388,5.388,0.0
304956,6,0,0.603,5.397,5.397,0.0
193714,3,0,0.6,2.4,2.4,0.0
191663,3,0,0.597,2.403,2.403,0.0
984248,3,0,0.583,2.417,2.417,0.0
24552,3,0,0.571,2.429,2.429,0.0
194021,3,0,0.571,2.429,2.429,0.0
187119,3,0,0.571,2.429,2.429,0.0
96595,4,3,0.571,6.429,6.429,0.0
195560,8,0,0.571,7.429,7.429,0.0
96598,5,6,0.571,10.429,10.429,0.0
360759,5,0,0.571,4.429,4.429,0.0
188708,4,0,0.571,3.429,3.429,0.0
199244,11,0,0.571,10.429,10.429,0.0
90915,5,0,0.571,4.429,4.429,0.0
96599,3,6,0.571,8.429,8.429,0.0
16316,3,0,0.571,2.429,2.429,0.0
188717,4,0,0.571,3.429,3.429,0.0
51645,6,0,0.571,5.429,5.429,0.0
10974,9,0,0.551,8.449,8.449,0.0
63822,5,0,0.551,4.449,4.449,0.0
15653,6,0,0.538,5.462,5.462,0.0
15186,3,0,0.536,2.464,2.464,0.0
92214,0,0,0.857,0.0,0.0,0.0
33266,6,0,0.531,5.469,5.469,0.0
67324,6,0,0.524,5.476,5.476,0.0
984256,4,0,0.524,3.476,3.476,0.0
653586,3,0,0.524,2.476,2.476,0.0
190842,4,0,0.524,3.476,3.476,0.0
