sku_number,predicted_promo_period_sales_units,promo_period_demand_source,promo_period_demand_warning
189553,26.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
16859,21.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
87550,19.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
698571,16.818,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
948829,16.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
92848,16.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
92849,16.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
27193,15.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
87418,15.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195445,15.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
199846,14.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
184707,13.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
445650,12.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
15789,12.529,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
580,12.444,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
199243,12.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
15792,11.765,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
63079,11.706,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193203,11.636,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
49686,11.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195091,11.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94903,11.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
188716,11.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
612448,10.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
37987,10.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
655035,10.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
655084,10.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93339,10.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
18512,9.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
32861,9.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
188719,9.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
187118,9.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
187116,9.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94904,9.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
390763,8.4,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
90933,8.0,baseline_daily_times_promotion_days_floor,promo_demand_uses_baseline_daily_floor
92853,8.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195446,8.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
