source_id,source_type,target_id,target_type,edge_type,weight
SKU:44226,SKU,DEPARTMENT:FOOTCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:44226,SKU,CATEGORY:FOOTCARE AID,CATEGORY,MEMBER_OF,1.0
SKU:44226,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:44226,SKU,PROMOTION:772|44226|2026-04-09|2026-04-22|772-44226-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:93879,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:93879,SKU,CATEGORY:SALLY HANSEN,CATEGORY,MEMBER_OF,1.0
SKU:93879,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:93879,SKU,PROMOTION:772|93879|2026-03-05|2026-03-18|772-93879-20260305|Allocation Report - OP21 FEMALE FOUNDERS,PROMOTION,IN_PROMOTION,1.0
SKU:966444,SKU,DEPARTMENT:HAIRCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:966444,SKU,CATEGORY:SHAMPOO CONDITIONE,CATEGORY,MEMBER_OF,1.0
SKU:966444,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:966444,SKU,PROMOTION:772|966444|2025-12-02|2025-12-10|772-966444-20251202|Allocation Report - WK23 CHRISTMAS PART 3,PROMOTION,IN_PROMOTION,1.0
SKU:88910,SKU,DEPARTMENT:BEAUTY ACCESSORIES,DEPARTMENT,MEMBER_OF,1.0
SKU:88910,SKU,CATEGORY:MANICURE PEDICURE,CATEGORY,MEMBER_OF,1.0
SKU:88910,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:88910,SKU,PROMOTION:772|88910|2025-11-25|2025-12-01|772-88910-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,PROMOTION,IN_PROMOTION,1.0
SKU:95138,SKU,DEPARTMENT:MENS GROOMING,DEPARTMENT,MEMBER_OF,1.0
SKU:95138,SKU,CATEGORY:MENS SHAVING AIDS,CATEGORY,MEMBER_OF,1.0
SKU:95138,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:95138,SKU,PROMOTION:772|95138|2026-01-22|2026-02-04|772-95138-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:284289,SKU,DEPARTMENT:EYES EARS,DEPARTMENT,MEMBER_OF,1.0
SKU:284289,SKU,CATEGORY:EYEWEAR,CATEGORY,MEMBER_OF,1.0
SKU:284289,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:284289,SKU,PROMOTION:772|284289|2025-11-13|2025-11-26|772-284289-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:88157,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:88157,SKU,CATEGORY:NUDE BY NATURE,CATEGORY,MEMBER_OF,1.0
SKU:88157,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:88157,SKU,PROMOTION:772|88157|2026-04-23|2026-05-06|772-88157-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,PROMOTION,IN_PROMOTION,1.0
SKU:195930,SKU,DEPARTMENT:HAIRCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:195930,SKU,CATEGORY:DRY SHAMPOO,CATEGORY,MEMBER_OF,1.0
SKU:195930,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:195930,SKU,PROMOTION:772|195930|2025-12-11|2025-12-24|772-195930-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,PROMOTION,IN_PROMOTION,1.0
SKU:189712,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:189712,SKU,CATEGORY:SALLY HANSEN,CATEGORY,MEMBER_OF,1.0
SKU:189712,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
