promotion_row_key,sku_number,sku_description,promo_type,legacy_expected_demand,expected_promo_demand,final_order_units,legacy_order_units,stock_basis_units,demand_reference_units,realized_sales_units,target_quality_label,target_repair_basis,target_weight,buy_change,raw_stock_gap_units,pack_size,action_reason_short,over_stock_basis
772|184853|2026-03-26|2026-04-08|772-184853-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,184853,Epzen Awaken Body Wash 750Ml,normal catalogue,4.08139067149637,9.469735136192728,9,6,2.0,28.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,9,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|188706|2026-04-09|2026-04-22|772-188706-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,188706,Cerave Cream-To-Foam Cls 236Ml,normal catalogue,7.652442250866842,12.850959158341299,9,3,3.0,18.666666666666664,4.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,7,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|188706|2026-03-19|2026-03-25|772-188706-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,188706,Cerave Cream-To-Foam Cls 236Ml,sales event,24.496376213817037,13.679941483674176,9,18,3.0,8.9999,4.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,7,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|186808|2026-03-26|2026-04-08|772-186808-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,186808,Voost Hydrate 20 Eff Tablets,normal catalogue,0.03623944382195466,1.7218517083245761,8,8,1.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,8.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|16306|2026-03-05|2026-03-18|772-16306-20260305|Allocation Report - OP21 FEMALE FOUNDERS,16306,Neut U/S Fluid Face Spf50 40Ml,online promotion,4.308662368867192,6.178566379796763,8,6,0.0,17.111111111111114,2.0,INVENTORY_INTEGRITY_CONTAMINATED,NO_REPAIR_INTEGRITY,0.0,unchanged,8,1.0,STOCK_GAP_ORDER|STOCKOUT_RISK,0
772|185570|2026-02-19|2026-03-04|772-185570-20260219|Allocation Report - WK34&35 AUTUMN PART 1,185570,Libra Liner Extra Protect 50,normal catalogue,3.331469878148322,5.479795575952639,8,4,4.0,14.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,5,4.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|186811|2026-03-26|2026-04-08|772-186811-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,186811,Voost B Complex 20 Eff Tablets,normal catalogue,1.6610913374059633,3.8512687259076235,8,0,4.0,14.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,8.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|186552|2026-03-05|2026-03-18|772-186552-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186552,Cetaphil Baby Bath&Wash 400Ml,online promotion,1.7009365362808144,3.4118508356693598,8,8,2.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,8.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|11494|2026-04-09|2026-04-22|772-11494-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,11494,Oral B 3D Wht W/Strp Lx 14 Trt,normal catalogue,2.326308470288131,5.161891819993437,7,4,2.0,22.75,3.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,7,1.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|186718|2026-04-09|2026-04-22|772-186718-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,186718,Barrym Body Glitter 4 Party,normal catalogue,1.292908076427389,4.4700946296510935,6,0,5.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|189731|2026-03-19|2026-03-25|772-189731-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,189731,Colg Ribbon Mint 100M,sales event,3.8113873261444327,4.75217760131819,6,6,6.0,12.0,4.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,2,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|190077|2026-02-19|2026-03-04|772-190077-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190077,Pl Duo Pencil Sharpener,normal catalogue,1.4251816590287674,5.685939462943789,6,0,6.0,16.333333333333336,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
