sku_number,sku_description,promo_units_expected_to_sell,stock_needed_to_finish_with_target_cover,target_day_one_soh_units,promo_demand_share_of_target_day_one,target_end_stock_share_of_target_day_one,full_target_order_units,recommended_order_units,remaining_day_one_shortfall_units,classification
87885,Colg Pwr T/Brush Optic Handle,7.0,30.0,37.0,0.189,0.811,37,6,31,base_stock_gap
57452,Weleda Skin Food Light 75Ml,7.0,30.0,37.0,0.189,0.811,35,0,35,promo_cover_gap
194017,Csc Micropolish Powder 60G,7.0,30.0,37.0,0.189,0.811,35,6,29,base_stock_gap
94807,No7 Artist Liquid Blush Coral,7.0,30.0,37.0,0.189,0.811,33,6,27,base_stock_gap
94532,No7 Runway Ready Brow Gel Clea,7.0,30.0,37.0,0.189,0.811,34,6,28,base_stock_gap
42110,Swiss Cot Tips Paper 120Pk,7.0,30.0,37.0,0.189,0.811,23,0,23,base_stock_gap
91151,Col Optic Wht Purp Serum 40Ml,7.0,30.0,37.0,0.189,0.811,35,6,29,base_stock_gap
40732,Palmol Lhw Foam L/E 250Ml,7.0,30.0,37.0,0.189,0.811,35,6,29,base_stock_gap
195978,G/Mane Repair & Hyd Cd 330Ml,7.0,30.0,37.0,0.189,0.811,36,0,36,promo_cover_gap
947520,Lanolips 101 O/Ment S/Bery 10G,7.0,30.0,37.0,0.189,0.811,30,0,30,base_stock_gap
90330,Blistex Inten Rep Balm 4.25G,7.0,30.0,37.0,0.189,0.811,34,0,34,promo_cover_gap
94511,Cetaphil Gentle Skin Clns 118M,7.0,30.0,37.0,0.189,0.811,35,0,35,promo_cover_gap
63823,Swiss Cosmetic Tips Paper 100,7.0,30.0,37.0,0.189,0.811,32,0,32,base_stock_gap
62765,Jerg U/H Hand Cream 100Ml,6.833,29.286,36.119,0.189,0.811,30,0,30,base_stock_gap
463027,U By Kotex Tamp Reg 16'S,6.714,28.776,35.49,0.189,0.811,27,0,27,base_stock_gap
655050,Lrp Tol Sens Riche 40Ml,6.667,28.572,35.239,0.189,0.811,34,0,34,promo_cover_gap
31874,Lrp Tol Caring Face Wash 200Ml,6.667,28.572,35.239,0.189,0.811,22,0,22,base_stock_gap
591904,Neut N/F F/F Hand Crm 56G,6.667,28.572,35.239,0.189,0.811,34,0,34,promo_cover_gap
475114,U By Kotex Tamp Super 16,6.643,28.47,35.113,0.189,0.811,24,0,24,base_stock_gap
798169,Rexona W Apd Cl Showr Cln 45Ml,6.625,28.393,35.018,0.189,0.811,30,0,30,base_stock_gap
491852,Avene Cicalfate Cream 40Ml,6.625,28.393,35.018,0.189,0.811,33,0,33,promo_cover_gap
49087,Garn H/Bomb Mask Sakura 28G,6.5,27.857,34.357,0.189,0.811,25,0,25,base_stock_gap
93337,Lrp Effaclar Az Gel Cream 40Ml,6.5,27.857,34.357,0.189,0.811,33,0,33,promo_cover_gap
490563,U By Kotex Xtr O/N Pad Wing 10,6.429,27.551,33.98,0.189,0.811,23,0,23,base_stock_gap
75453,Lrp Cicaplast B5 Serum 30Ml,6.333,27.143,33.476,0.189,0.811,31,0,31,promo_cover_gap
188766,Hada Labo Moist Sheet Mask,6.333,27.143,33.476,0.189,0.811,23,0,23,base_stock_gap
184706,Lrp Tol Derma Night 40Ml,6.333,27.143,33.476,0.189,0.811,31,0,31,promo_cover_gap
188852,Tbh Patch It Up 72 Patches,6.25,26.786,33.036,0.189,0.811,30,0,30,promo_cover_gap
62768,Jerg U/H Lotion 621Ml,6.0,25.714,31.714,0.189,0.811,30,0,30,promo_cover_gap
188714,Cerave Moist Am Spf15 52Ml,6.0,25.714,31.714,0.189,0.811,28,0,28,base_stock_gap
