sku_number,baseline_daily_rate_units,baseline_daily_source_days,baseline_7_day_units,historical_units_same_discount_avg,current_predicted_promo_period_sales_units,proposed_promo_period_sales_units,promo_demand_floor_reason
22904,0.619043,56,4.333,4.333,0.0,4.333,
188737,0.619043,56,4.333,4.333,0.0,4.333,
90840,0.619043,56,4.333,4.333,0.0,4.333,
458104,0.619043,56,4.333,4.333,0.0,4.333,
56278,0.616071,56,4.312,4.312,0.0,4.312,
192837,0.612243,56,4.286,4.286,0.0,4.286,
94058,0.612243,56,4.286,4.286,0.0,4.286,
33264,0.612243,56,4.286,4.286,0.0,4.286,
304956,0.603171,56,4.222,4.222,0.0,4.222,
206431,0.6,56,4.2,4.2,0.0,4.2,
193714,0.6,56,4.2,4.2,0.0,4.2,
191661,0.5974,56,4.182,4.182,0.0,4.182,
191663,0.5974,56,4.182,4.182,0.0,4.182,
191948,0.589286,56,4.125,4.125,0.0,4.125,
984248,0.583329,56,4.083,4.083,0.0,4.083,
94130,0.571429,56,4.0,4.0,0.0,4.0,
195115,0.571429,56,4.0,4.0,0.0,4.0,
90331,0.571429,56,4.0,4.0,0.0,4.0,
90781,0.571429,56,4.0,4.0,0.0,4.0,
24552,0.571429,56,4.0,4.0,0.0,4.0,
94219,0.571429,56,4.0,4.0,0.0,4.0,
194021,0.571429,56,4.0,4.0,0.0,4.0,
187119,0.571429,56,4.0,4.0,0.0,4.0,
96595,0.571429,56,4.0,4.0,0.0,4.0,
195560,0.571429,56,4.0,4.0,0.0,4.0,
96598,0.571429,56,4.0,4.0,0.0,4.0,
360759,0.571429,56,4.0,4.0,0.0,4.0,
95696,0.571429,56,4.0,4.0,0.0,4.0,
93520,0.571429,56,4.0,4.0,0.0,4.0,
188718,0.571429,56,4.0,4.0,0.0,4.0,
188708,0.571429,56,4.0,4.0,0.0,4.0,
638781,0.571429,56,4.0,4.0,0.0,4.0,
199244,0.571429,56,4.0,4.0,0.0,4.0,
90915,0.571429,56,4.0,4.0,0.0,4.0,
96599,0.571429,56,4.0,4.0,0.0,4.0,
16316,0.571429,56,4.0,4.0,0.0,4.0,
188717,0.571429,56,4.0,4.0,0.0,4.0,
51645,0.571429,56,4.0,3.875,0.0,3.875,
37032,0.552386,56,3.867,3.867,0.0,3.867,
10974,0.551014,56,3.857,3.857,0.0,3.857,
63822,0.551014,56,3.857,3.857,0.0,3.857,
61296,0.547614,56,3.833,3.833,0.0,3.833,
63109,0.546214,56,3.823,3.824,0.0,3.824,
15834,0.537814,56,3.765,3.765,0.0,3.765,
15653,0.537814,56,3.765,3.765,0.0,3.765,
68375,0.535714,56,3.75,3.75,0.0,3.75,
188851,0.535714,56,3.75,3.75,0.0,3.75,
15186,0.535714,56,3.75,3.75,0.0,3.75,
49607,0.533329,56,3.733,3.733,0.0,3.733,
354929,0.532471,56,3.727,3.727,0.0,3.727,
92214,0.857143,56,6.0,3.714,0.0,3.714,
33266,0.530614,56,3.714,3.714,0.0,3.714,
195429,0.529414,56,3.706,3.706,0.0,3.706,
72934,0.523814,56,3.667,3.667,0.0,3.667,
67324,0.523814,56,3.667,3.667,0.0,3.667,
984256,0.523814,56,3.667,3.667,0.0,3.667,
653586,0.523814,56,3.667,3.667,0.0,3.667,
190842,0.523814,56,3.667,3.667,0.0,3.667,
60001,0.523814,56,3.667,3.667,0.0,3.667,
198461,0.523814,56,3.667,3.667,0.0,3.667,
33267,0.520414,56,3.643,3.643,0.0,3.643,
10432,0.514286,56,3.6,3.6,0.0,3.6,
199950,0.514286,56,3.6,3.6,0.0,3.6,
41594,0.5031,56,3.522,3.522,0.0,3.522,
60947,0.5,56,3.5,3.5,0.0,3.5,
41319,0.5,56,3.5,3.5,0.0,3.5,
49090,0.5,56,3.5,3.5,0.0,3.5,
93921,0.5,56,3.5,3.5,0.0,3.5,
93920,0.5,56,3.5,3.5,0.0,3.5,
96600,0.5,56,3.5,3.5,0.0,3.5,
87750,0.5,56,3.5,3.5,0.0,3.5,
820504,0.5,56,3.5,3.5,0.0,3.5,
90140,0.5,56,3.5,3.5,0.0,3.5,
37408,0.5,56,3.5,3.5,0.0,3.5,
36119,0.4969,56,3.478,3.478,0.0,3.478,
33265,0.4898,56,3.429,3.429,0.0,3.429,
56157,0.4898,56,3.429,3.429,0.0,3.429,
64534,0.485714,56,3.4,3.4,0.0,3.4,
735078,0.485714,56,3.4,3.4,0.0,3.4,
36133,0.484471,56,3.391,3.391,0.0,3.391,
36115,0.480514,56,3.364,3.364,0.0,3.364,
94131,0.476186,56,3.333,3.333,0.0,3.333,
193413,0.476186,56,3.333,3.333,0.0,3.333,
195049,0.476186,56,3.333,3.333,0.0,3.333,
88080,0.476186,56,3.333,3.333,0.0,3.333,
188861,0.476186,56,3.333,3.333,0.0,3.333,
184704,0.476186,56,3.333,3.333,0.0,3.333,
948845,0.476186,56,3.333,3.333,0.0,3.333,
521286,0.474029,56,3.318,3.318,0.0,3.318,
958840,0.469386,56,3.286,3.286,0.0,3.286,
94057,0.469386,56,3.286,3.286,0.0,3.286,
94458,0.469386,56,3.286,3.286,0.0,3.286,
189236,0.465843,56,3.261,3.261,0.0,3.261,
14528,0.457143,56,3.2,3.2,0.0,3.2,
15719,0.453786,56,3.177,3.176,0.0,3.177,baseline_56_day_floor_applied
70394,1.0,56,7.0,3.176,0.0,3.176,
43765,0.452386,56,3.167,3.167,0.0,3.167,
200980,0.448986,56,3.143,3.143,0.0,3.143,
11035,0.448986,56,3.143,3.143,0.0,3.143,
485861,0.448986,56,3.143,3.143,0.0,3.143,
193207,0.448057,56,3.136,3.136,0.0,3.136,
189514,1.0,56,7.0,3.118,0.0,3.118,
15844,0.445371,56,3.118,3.118,0.0,3.118,
54862,0.444443,56,3.111,3.111,0.0,3.111,
193197,0.441557,56,3.091,3.091,0.0,3.091,
60840,0.4375,56,3.062,3.062,0.0,3.062,
15840,0.436971,56,3.059,3.059,0.0,3.059,
521278,0.435071,56,3.045,3.046,0.0,3.046,
38390,0.435071,56,3.045,3.046,0.0,3.046,
55245,1.714286,56,12.0,3.0,0.0,3.0,
189239,1.0,56,7.0,3.0,0.0,3.0,
198639,0.428571,56,3.0,3.0,0.0,3.0,
90771,0.428571,56,3.0,3.0,0.0,3.0,
196554,0.428571,56,3.0,3.0,0.0,3.0,
92854,0.428571,56,3.0,3.0,0.0,3.0,
90839,0.428571,56,3.0,3.0,0.0,3.0,
31192,0.428571,56,3.0,3.0,0.0,3.0,
187117,0.428571,56,3.0,3.0,0.0,3.0,
491071,0.428571,56,3.0,3.0,0.0,3.0,
90841,0.428571,56,3.0,3.0,0.0,3.0,
523852,0.428571,56,3.0,3.0,0.0,3.0,
242853,0.428571,56,3.0,3.0,0.0,3.0,
92258,0.428571,56,3.0,3.0,0.0,3.0,
611271,0.428571,56,3.0,3.0,0.0,3.0,
69757,0.428571,56,3.0,3.0,0.0,3.0,
90892,0.428571,56,3.0,3.0,0.0,3.0,
92858,0.428571,56,3.0,3.0,0.0,3.0,
65465,0.428571,56,3.0,3.0,0.0,3.0,
62472,0.428571,56,3.0,3.0,0.0,3.0,
192051,0.428571,56,3.0,3.0,0.0,3.0,
97995,0.428571,56,3.0,3.0,0.0,3.0,
97989,0.428571,56,3.0,3.0,0.0,3.0,
188848,0.428571,56,3.0,3.0,0.0,3.0,
192049,0.428571,56,3.0,3.0,0.0,3.0,
95868,0.428571,56,3.0,0.0,0.0,3.0,
194018,0.428571,56,3.0,3.0,0.0,3.0,
65913,0.428571,56,3.0,3.0,0.0,3.0,
34855,0.428571,56,3.0,3.0,0.0,3.0,
277772,0.428571,56,3.0,3.0,0.0,3.0,
187645,0.428571,56,3.0,3.0,0.0,3.0,
191288,0.428571,56,3.0,3.0,0.0,3.0,
386359,0.428571,56,3.0,3.0,0.0,3.0,
190839,0.428571,56,3.0,3.0,0.0,3.0,
26669,0.428571,56,3.0,3.0,0.0,3.0,
188736,0.428571,56,3.0,3.0,0.0,3.0,
94559,0.428571,56,3.0,3.0,0.0,3.0,
16857,0.428571,56,3.0,3.0,0.0,3.0,
654988,0.428571,56,3.0,3.0,0.0,3.0,
69758,0.428571,56,3.0,3.0,0.0,3.0,
96295,0.428571,56,3.0,3.0,0.0,3.0,
96596,0.428571,56,3.0,3.0,0.0,3.0,
188952,0.428571,56,3.0,3.0,0.0,3.0,
96298,0.428571,56,3.0,3.0,0.0,3.0,
37849,0.428571,56,3.0,3.0,0.0,3.0,
