sku_number,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,recommendation_coverage_ratio,decision,proposed_decision,recommendation_type,reason_for_shortfall
2839,28,0,28,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
1485,22,0,22,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
321943,26,0,26,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
11822,22,0,22,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
193196,27,0,27,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
93914,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
92857,23,0,23,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
390771,22,0,22,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
71227,20,0,20,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
698520,23,0,23,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
195050,24,0,24,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
93976,25,0,25,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
390941,24,0,24,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
41313,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
195444,23,0,23,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
92632,130,24,106,0.185,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
188031,24,0,24,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
63415,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
49685,12,0,12,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
11895,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
60949,19,0,19,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
93919,22,0,22,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
93916,22,0,22,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
396133,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
11831,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
688223,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
15733,22,0,22,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
33269,13,0,13,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94457,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
688355,15,0,15,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
636886,17,0,17,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
346268,19,0,19,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94132,23,2,21,0.087,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
186358,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
65557,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
61548,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
22904,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
458104,21,0,21,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
56278,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
33264,17,0,17,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
304956,17,0,17,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
193714,20,0,20,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
191663,20,0,20,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
984248,19,0,19,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
24552,19,0,19,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
194021,19,0,19,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
187119,19,0,19,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96595,15,0,15,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
195560,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96598,11,0,11,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
360759,17,0,17,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188708,18,0,18,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
199244,11,0,11,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
90915,17,0,17,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96599,13,0,13,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
16316,19,0,19,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188717,18,0,18,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
51645,16,3,13,0.188,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
10974,12,0,12,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
63822,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
15653,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
15186,17,0,17,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
92214,29,4,25,0.138,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
33266,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
67324,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
984256,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
653586,17,0,17,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
190842,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
198461,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
33267,11,0,11,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
10432,17,0,17,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
93920,15,0,15,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
90140,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
36119,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
33265,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
56157,16,0,16,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
735078,12,0,12,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
195049,18,2,16,0.111,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
88080,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188861,12,0,12,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
184704,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
948845,8,0,8,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
