sku_number,sku_description,decision,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,recommended_order_units,target_day_one_soh_units,projected_day_one_soh_before_order_units,projected_day_one_soh_after_recommended_order_units,expected_formula_day_one_soh_after_order,formula_difference,pass_fail
591904,Neut N/F F/F Hand Crm 56G,REVIEW,3,0,0.952,0,35.239,2.048,2.048,2.048,0.0,PASS
475114,U By Kotex Tamp Super 16,REVIEW,12,0,0.949,0,35.113,11.051,11.051,11.051,0.0,PASS
798169,Rexona W Apd Cl Showr Cln 45Ml,REVIEW,6,0,0.946,0,35.018,5.054,5.054,5.054,0.0,PASS
491852,Avene Cicalfate Cream 40Ml,REVIEW,3,0,0.946,0,35.018,2.054,2.054,2.054,0.0,PASS
490563,U By Kotex Xtr O/N Pad Wing 10,REVIEW,12,0,0.918,0,33.98,11.082,11.082,11.082,0.0,PASS
75453,Lrp Cicaplast B5 Serum 30Ml,REVIEW,3,0,0.905,0,33.476,2.095,2.095,2.095,0.0,PASS
188766,Hada Labo Moist Sheet Mask,REVIEW,11,0,0.905,0,33.476,10.095,10.095,10.095,0.0,PASS
184706,Lrp Tol Derma Night 40Ml,REVIEW,3,0,0.905,0,33.476,2.095,2.095,2.095,0.0,PASS
62768,Jerg U/H Lotion 621Ml,REVIEW,3,0,0.857,0,31.714,2.143,2.143,2.143,0.0,PASS
188714,Cerave Moist Am Spf15 52Ml,REVIEW,5,0,0.857,0,31.714,4.143,4.143,4.143,0.0,PASS
90374,Blistex U/Lip Balm Spf50+4.25G,REVIEW,3,0,0.857,0,31.714,2.143,2.143,2.143,0.0,PASS
94234,Cerave Blemish Patches,REVIEW,8,0,0.857,0,31.714,7.143,7.143,7.143,0.0,PASS
483036,Garn Micellar Solution 400Ml,REVIEW,6,0,0.841,0,31.127,5.159,5.159,5.159,0.0,PASS
195078,Garn Vit C Eye Mask,REVIEW,10,0,0.839,0,31.054,9.161,9.161,9.161,0.0,PASS
193713,No7 Future Renew Nght Crm 50Ml,REVIEW,4,0,0.829,0,30.657,3.171,3.171,3.171,0.0,PASS
458074,Cetaphil Moisturising Crm 100G,REVIEW,3,0,0.829,0,30.657,2.171,2.171,2.171,0.0,PASS
2839,Nivea D/E Db/Eff Emur 125Ml,REVIEW,3,0,0.821,0,30.393,2.179,2.179,2.179,0.0,PASS
1485,Neut H/B Mask X5,REVIEW,9,0,0.81,0,29.953,8.19,8.19,8.19,0.0,PASS
321943,Neut Bod Oil 250Ml,REVIEW,5,0,0.81,0,29.953,4.19,4.19,4.19,0.0,PASS
11822,Lanolips Tint Balm Nude 12.5G,REVIEW,8,0,0.786,0,29.071,7.214,7.214,7.214,0.0,PASS
193196,May Lash Sensational Intns Blk,REVIEW,3,0,0.786,0,29.071,2.214,2.214,2.214,0.0,PASS
93914,Fraim Satin Skn Scrunchies 6Pk,REVIEW,14,0,0.786,0,29.071,13.214,13.214,13.214,0.0,PASS
92857,Og Rosemry Hair&Sclp 100Ml,REVIEW,7,0,0.786,0,29.071,6.214,6.214,6.214,0.0,PASS
390771,U By Kotex Ut Super Wing 12,REVIEW,7,0,0.771,0,28.543,6.229,6.229,6.229,0.0,PASS
71227,Lrp Tol Derm Fluid 40Ml,REVIEW,9,0,0.762,0,28.19,8.238,8.238,8.238,0.0,PASS
698520,Bioderma Sensibio H20 250Ml,REVIEW,6,0,0.762,0,28.19,5.238,5.238,5.238,0.0,PASS
195050,Lrp Refill Eff Fm Clnsr 400Ml,REVIEW,5,0,0.762,0,28.19,4.238,4.238,4.238,0.0,PASS
93976,May Fstudio Grip Serm Prim Int,REVIEW,1,3,0.753,0,27.87,3.247,3.247,3.247,0.0,PASS
390941,U By Kotex Liner Design Prot30,REVIEW,4,0,0.745,0,27.561,3.255,3.255,3.255,0.0,PASS
41313,Rexona W Clin R/O Summer 50Ml,REVIEW,7,0,0.743,0,27.486,6.257,6.257,6.257,0.0,PASS
195444,Npmu Marshmellow Set Spray,REVIEW,2,3,0.731,0,27.051,4.269,4.269,4.269,0.0,PASS
92632,Avene Cica+ Mlt P&R Crm Spf50+,REVIEW,8,0,4.286,24,133.571,3.714,27.714,27.714,0.0,PASS
188031,Skin Control D/Spot Fade 9Pk,REVIEW,3,0,0.714,0,26.429,2.286,2.286,2.286,0.0,PASS
63415,Lrp Eff Ult Con Serum 30Ml,REVIEW,6,0,0.714,0,26.429,5.286,5.286,5.286,0.0,PASS
49685,Avene Thermal S/Water 50Ml,REVIEW,15,0,0.714,0,26.429,14.286,14.286,14.286,0.0,PASS
11895,Lrp Eff Mat 40Ml,REVIEW,6,0,0.714,0,26.429,5.286,5.286,5.286,0.0,PASS
60949,Skin Control P/Patch Am/Pm 36P,REVIEW,8,0,0.714,0,26.429,7.286,7.286,7.286,0.0,PASS
93919,Fraim Small Soft Ptailers 30Pk,REVIEW,5,0,0.714,0,26.429,4.286,4.286,4.286,0.0,PASS
93916,Fraim Xl Soft Ptailers Blk 6Pk,REVIEW,5,0,0.714,0,26.429,4.286,4.286,4.286,0.0,PASS
396133,Batiste Dry Spoo Original 120G,REVIEW,5,0,0.673,0,24.918,4.327,4.327,4.327,0.0,PASS
11831,Avene Thermal S/Water 150Ml,REVIEW,11,0,0.667,0,24.667,10.333,10.333,10.333,0.0,PASS
688223,Neut H/B Water Gel 50G,REVIEW,4,0,0.667,0,24.667,3.333,3.333,3.333,0.0,PASS
15733,Npmu Eb Pencil Micro Brun,REVIEW,3,0,0.655,0,24.252,2.345,2.345,2.345,0.0,PASS
33269,Tom Org Regular Tampns 16 Pk,REVIEW,12,0,0.653,0,24.163,11.347,11.347,11.347,0.0,PASS
94457,Loreal A/P Cell Renew Duo Srm,REVIEW,4,0,0.653,0,24.163,3.347,3.347,3.347,0.0,PASS
688355,Lanolips Tint Balm Rhuba 12.5G,REVIEW,9,0,0.643,0,23.786,8.357,8.357,8.357,0.0,PASS
636886,Nivea Soft Creme Tube 75Ml,REVIEW,7,0,0.643,0,23.786,6.357,6.357,6.357,0.0,PASS
346268,Rexona M Apd Stck Sport 52G,REVIEW,5,0,0.629,0,23.257,4.371,4.371,4.371,0.0,PASS
94132,C/Council Lip Balm Spf50 Berry,REVIEW,0,0,0.619,2,22.904,0.0,2.0,2.0,0.0,PASS
186358,Jojoba Australian Jojoba 200Ml,REVIEW,8,0,0.619,0,22.904,7.381,7.381,7.381,0.0,PASS
65557,No7 L&L Day Crm Spf 50Ml,REVIEW,8,0,0.619,0,22.904,7.381,7.381,7.381,0.0,PASS
61548,Lrp Micellar Wtr Sens 400Ml,REVIEW,3,0,0.619,0,22.904,2.381,2.381,2.381,0.0,PASS
22904,Lrp Redermic C Eye 15Ml,REVIEW,3,0,0.619,0,22.904,2.381,2.381,2.381,0.0,PASS
458104,Neut O/F Acne Wash 175Ml,REVIEW,3,0,0.619,0,22.904,2.381,2.381,2.381,0.0,PASS
56278,Loreal R/Lift Fil Ha Serum 30M,REVIEW,7,0,0.616,0,22.794,6.384,6.384,6.384,0.0,PASS
33264,Tom Org Regular Pads 10Pk,REVIEW,6,0,0.612,0,22.653,5.388,5.388,5.388,0.0,PASS
304956,Aveeno D/Moist Lotion 71Ml,REVIEW,6,0,0.603,0,22.317,5.397,5.397,5.397,0.0,PASS
193714,No7 Future Renew Eye Srm 15Ml,REVIEW,3,0,0.6,0,22.2,2.4,2.4,2.4,0.0,PASS
191663,Rexona W Dv R/O Fresh 50Ml,REVIEW,3,0,0.597,0,22.104,2.403,2.403,2.403,0.0,PASS
984248,U By Kotex Sprt Ut Reg Wing 12,REVIEW,3,0,0.583,0,21.583,2.417,2.417,2.417,0.0,PASS
24552,Jojoba Australian Jojoba 30Ml,REVIEW,3,0,0.571,0,21.143,2.429,2.429,2.429,0.0,PASS
194021,Csc Pigment Perfect Serum 30Ml,REVIEW,3,0,0.571,0,21.143,2.429,2.429,2.429,0.0,PASS
187119,G/Mane Anti-Frizz Serum 100Ml,REVIEW,3,0,0.571,0,21.143,2.429,2.429,2.429,0.0,PASS
96595,Npmu Ling Ll Stain Up No Good,REVIEW,4,3,0.571,0,21.143,6.429,6.429,6.429,0.0,PASS
195560,Lrp Effaclar +M F/Clnsr 200Ml,REVIEW,8,0,0.571,0,21.143,7.429,7.429,7.429,0.0,PASS
96598,Npmu Ling Ll Stain Send Nudes,REVIEW,5,6,0.571,0,21.143,10.429,10.429,10.429,0.0,PASS
360759,Cetaphil Moist Lotion 1 Litre,REVIEW,5,0,0.571,0,21.143,4.429,4.429,4.429,0.0,PASS
188708,Cerave Hydra Fm Oil Clns 473Ml,REVIEW,4,0,0.571,0,21.143,3.429,3.429,3.429,0.0,PASS
199244,Cerave Rep Balm 50Ml,REVIEW,11,0,0.571,0,21.143,10.429,10.429,10.429,0.0,PASS
90915,Cerave Int Moist Lotion 236,REVIEW,5,0,0.571,0,21.143,4.429,4.429,4.429,0.0,PASS
96599,Npmu Ling Ll Stain Up All Nght,REVIEW,3,6,0.571,0,21.143,8.429,8.429,8.429,0.0,PASS
16316,Neut H/B Hya Acid Crm50G,REVIEW,3,0,0.571,0,21.143,2.429,2.429,2.429,0.0,PASS
188717,Cerave Hand Cream 50Ml,REVIEW,4,0,0.571,0,21.143,3.429,3.429,3.429,0.0,PASS
51645,Garn H/Bomb Mask Grape Seed,REVIEW,6,0,0.571,3,21.018,5.429,8.429,8.429,0.0,PASS
10974,B/Bees Cd Tint Balm Red Dahlia,REVIEW,9,0,0.551,0,20.387,8.449,8.449,8.449,0.0,PASS
63822,Swiss Cotton Tips Paper 400Pk,REVIEW,5,0,0.551,0,20.387,4.449,4.449,4.449,0.0,PASS
