segment,unsafe_primary_reason,row_count,pct_of_unsafe_rows,pct_of_all_rows
category=INCONTINENCE UNISE,legacy_placeholder_detected,10,0.0221,0.0191
category=INCONTINENCE WOMAN,legacy_placeholder_detected,114,0.2524,0.218
category=INCONTINENCE WOMAN,missing_baseline_daily_units,3,0.0066,0.0057
category=INHALANTS,legacy_placeholder_detected,5,0.0111,0.0096
category=INHALANTS,missing_baseline_daily_units,2,0.0044,0.0038
category=INSECT REPELLENT,legacy_placeholder_detected,1,0.0022,0.0019
category=INSOMNIA,legacy_placeholder_detected,1,0.0022,0.0019
category=INSOMNIA,missing_baseline_daily_units,1,0.0022,0.0019
category=KIND,legacy_placeholder_detected,169,0.3742,0.3232
category=KIND,missing_baseline_daily_units,3,0.0066,0.0057
category=LASHES,actuals_censored_by_stockout,2,0.0044,0.0038
category=LASHES,legacy_placeholder_detected,409,0.9055,0.7823
category=LASHES,missing_baseline_daily_units,10,0.0221,0.0191
category=LIP CARE,actuals_censored_by_stockout,12,0.0266,0.023
category=LIP CARE,legacy_placeholder_detected,262,0.5801,0.5011
category=LIP CARE,missing_baseline_daily_units,49,0.1085,0.0937
category=LOREAL,actuals_censored_by_stockout,6,0.0133,0.0115
category=LOREAL,legacy_placeholder_detected,1750,3.8744,3.347
category=LOREAL,missing_baseline_daily_units,8,0.0177,0.0153
category=LOTIONS AND POWDER,actuals_censored_by_stockout,2,0.0044,0.0038
category=LOTIONS AND POWDER,legacy_placeholder_detected,18,0.0399,0.0344
category=LOTIONS AND POWDER,missing_baseline_daily_units,3,0.0066,0.0057
category=MAKEUP REVOLUTION,legacy_placeholder_detected,717,1.5874,1.3713
category=MAKEUP REVOLUTION,missing_baseline_daily_units,26,0.0576,0.0497
category=MANICURE PEDICURE,actuals_censored_by_stockout,3,0.0066,0.0057
category=MANICURE PEDICURE,legacy_placeholder_detected,357,0.7904,0.6828
category=MANICURE PEDICURE,missing_baseline_daily_units,26,0.0576,0.0497
category=MAX FACTOR,legacy_placeholder_detected,1134,2.5106,2.1689
category=MAX FACTOR,missing_baseline_daily_units,5,0.0111,0.0096
category=MAYBELLINE,actuals_censored_by_stockout,10,0.0221,0.0191
category=MAYBELLINE,legacy_placeholder_detected,2230,4.9371,4.2651
category=MAYBELLINE,missing_baseline_daily_units,16,0.0354,0.0306
category=MEDICAL TEST KITS,actuals_censored_by_stockout,1,0.0022,0.0019
category=MEDICAL TEST KITS,legacy_placeholder_detected,5,0.0111,0.0096
category=MEDICATED HAIR,actuals_censored_by_stockout,9,0.0199,0.0172
category=MEDICATED HAIR,legacy_placeholder_detected,87,0.1926,0.1664
category=MEDICATED HAIR,missing_baseline_daily_units,3,0.0066,0.0057
category=MENS BODY WASH,legacy_placeholder_detected,39,0.0863,0.0746
category=MENS DEODORANT,actuals_censored_by_stockout,2,0.0044,0.0038
category=MENS DEODORANT,legacy_placeholder_detected,150,0.3321,0.2869
category=MENS DEODORANT,missing_baseline_daily_units,9,0.0199,0.0172
category=MENS ELEC GROOMING,legacy_placeholder_detected,19,0.0421,0.0363
category=MENS ELEC GROOMING,missing_baseline_daily_units,1,0.0022,0.0019
category=MENS GROOM DEODORA,legacy_placeholder_detected,42,0.093,0.0803
category=MENS HAIRCARE,actuals_censored_by_stockout,2,0.0044,0.0038
