segment,row_count,actual_units_total,forecast_units_total,bias_units,bias_pct,wape,mae,rmse,p75_abs_error,p95_abs_error,model_beats_baseline_pct,estimated_missed_sales_units,estimated_leftover_units
category=THE QUICK FLICK,242,230.0,140.136821,-89.863179,-39.07094739130435,0.6057110130434783,0.5756757561983471,1.2244303374306762,0.7046324999999999,2.3447131,64.87603305785123,193.0,104.0
category=THERAPEUTIC,1068,3179.0,1687.2750500000002,-1491.7249499999998,-46.92434570619691,0.8517106410821014,2.5351948764044945,11.0975966500519,1.7619447499999998,8.907,62.734082397003746,1751.0,395.0
category=THROAT TREATMENT,111,98.0,102.016896,4.016896000000001,4.0988734693877555,0.5364018367346939,0.47358,0.8730843309548217,0.8141769999999999,1.4985805,53.153153153153156,82.0,88.0
category=TOOTHBRUSHES,171,600.0,430.311699,-169.68830100000008,-28.28138350000001,1.012939015,3.5541719824561397,25.596718355130832,1.9625,4.6675,58.47953216374269,519.0,207.0
category=TOOTHPASTE,475,839.0,955.2508789999999,116.25087900000001,13.85588545887962,0.6828620965435043,1.206150103157895,1.868026728300806,1.6675000000000004,3.72075,57.89473684210527,612.0,327.0
category=TRAVEL ACCESSORIES,95,103.0,94.19024600000002,-8.809753999999998,-8.553159223300968,0.6365471067961166,0.6901510736842107,1.229709380002831,0.9899169999999999,2.9657590000000003,74.73684210526315,88.0,27.0
category=TREATMENT,901,1429.0,886.427791,-542.5722089999999,-37.968664030790755,0.6710762428271518,1.0643373485016647,3.2693839703921945,0.996925,5.5656099999999995,60.26637069922308,955.0,473.0
category=WEIGHT MANAGEMENT,64,20.0,26.461126999999998,6.461126999999999,32.305635,0.7003719500000001,0.21886623437500002,0.40114251053489003,0.078577,1.0607150499999995,39.0625,19.0,3.0
category=WOMENS DEODORANT,374,646.0,590.2205539999999,-55.77944600000001,-8.634589164086687,0.5551202724458205,0.9588441069518717,1.5272789183063855,1.3373309999999998,3.5552636499999943,67.37967914438502,359.0,340.0
category=WOMENS ELEC HAIR R,43,28.0,17.998041,-10.001959000000001,-35.72128214285715,0.6518750357142856,0.4244767674418604,0.8088890195454992,0.477198,1.7542011,48.837209302325576,26.0,3.0
